,Positive,Negative,Neutral,Compound
theon greyjoy,2.753,8.815,28.432999999999993,-6.0191
bran stark,0.0,2.867,10.133,-2.2866
farlen,0.0,0.545,1.455,-0.5574
ironborn,0.0,0.0,1.0,0.0
luwin,0.369,0.467,2.164,-0.296
osha,1.538,2.705,9.756,-0.9242999999999999
black lorren,0.0,0.0,2.0,0.0
rodrik,2.122,2.496,4.382,-1.336
dagmer,0.413,0.599,0.988,0.29919999999999997
rickon,0.0,0.0,0.0,0.0
jon snow,1.706,1.821,13.473,-0.30929999999999996
qhorin,2.8470000000000004,4.397,12.756,-3.6769000000000003
tywin lannister,1.63,3.726,24.643000000000004,-1.6933999999999998
amory,0.0,0.0,3.0,0.0
armory,0.0,0.0,1.0,0.0
guard,0.744,0.583,7.673,0.3377
petyr baelish,0.994,2.275,8.732,-1.5593
arya stark,2.209,0.0,11.791,1.1337000000000002
ygritte,3.084,4.809,14.106,-2.1752
septon,0.485,0.0,0.515,0.765
cersei lannister,0.877,0.0,0.123,0.9698
joffrey lannister,0.0,3.0,8.0,-1.8554
sansa stark,0.0,3.6660000000000004,4.334,-3.0365
man,2.856,3.815,4.329,-0.7818999999999999
tyrion lannister,0.314,3.454,6.232,-2.8753
woman,0.737,0.0,0.263,0.4215
sandor clegane,0.0,0.412,1.588,-0.2732
meryn,0.722,0.0,1.278,0.3818
cuard,1.0,0.0,0.0,0.4404
crowd,0.0,0.821,0.179,-0.6808
daenerys targaryen,3.21,2.304,12.486,-0.31520000000000015
xaro,1.91,0.5660000000000001,3.525,2.0778
spice king,4.192,0.901,9.906,4.1598
jaqen hghar,0.0,0.0,2.0,0.0
soldier,2.0,0.0,0.0,1.1399
quent,1.0,0.0,0.0,0.4215
robb stark,3.985,4.433,12.582,0.9837999999999999
talisa,2.662,0.73,6.6080000000000005,1.7810000000000001
catelyn stark,2.406,0.714,6.879999999999999,1.3105000000000002
roose bolton,0.483,0.0,0.517,0.4215
roose,1.143,2.035,2.821,-0.6006999999999999
ahsa,0.808,0.0,1.192,0.6369
shae,0.99,1.12,1.8900000000000001,-0.38669999999999993
