,Positive,Negative,Neutral,Compound
man,0.0,0.0,5.0,0.0
frey men,0.0,0.0,2.0,0.0
frey man,0.0,0.0,1.0,0.0
tyrion lannister,7.043,8.634,21.321,-2.1198999999999995
sansa stark,0.0,4.68,4.32,-3.8990000000000005
girl,0.0,0.0,0.0,0.0
podrick,0.0,0.0,2.0,0.0
joffrey lannister,0.0,3.654,4.346,-3.1071999999999997
pycelle,0.118,0.546,1.336,-0.7269
varys,2.4850000000000003,1.188,6.327,2.6237000000000004
cersei lannister,3.189,3.3439999999999994,6.466000000000001,0.6221999999999999
tywin lannister,4.145,3.0469999999999997,9.807999999999998,-1.9262000000000001
meera,0.0,1.1179999999999999,1.8820000000000001,-1.3191
jojen,2.0,1.367,5.633,-0.7246999999999999
hodor,0.0,0.0,2.0,0.0
bran stark,0.11499999999999999,1.111,9.774000000000001,-2.2136
walder frey,1.305,2.266,5.429,-2.7714000000000003
roose bolton,0.0,1.663,4.337,-1.4766
ramsay bolton,0.286,4.125,6.589,-2.9279
theon greyjoy,0.0,3.0,2.0,-2.1599
sam,1.721,3.1839999999999993,14.096,-1.3448000000000002
gilly,0.574,2.114,6.312,-0.7758000000000003
balon,0.6930000000000001,0.7070000000000001,5.6,0.2529
yara greyjoy,0.0,0.855,4.145,-1.089
davos,4.601,5.4430000000000005,31.954000000000008,-2.4273999999999996
gendry baratheon,1.44,3.034,10.526,-0.7121000000000001
shae,1.347,2.857,4.796,0.5881000000000001
frey soldier,0.203,4.0,7.797,-1.6608999999999998
arya stark,1.31,0.0,3.6899999999999995,0.4526
sandor clegane,0.0,1.0,2.0,-0.6705
jon snow,2.0,1.0,2.0,0.7471000000000001
ygritte,0.0,0.0,1.0,0.0
maester aemon,1.118,0.0,5.882000000000001,1.0263
shireen,0.0,1.634,3.3659999999999997,-1.6497000000000002
stannis baratheon,0.639,3.906,7.456000000000001,-3.3684
melisandre,2.928,1.637,2.434,0.7002000000000002
guard,0.0,0.0,1.0,0.0
pyp,0.0,0.0,0.0,0.0
jaime lannister,0.0,0.0,1.0,0.0
barristan,1.0,0.0,0.0,0.6486
daenerys targaryen,1.391,0.773,3.8360000000000003,0.9657
jorah mormont,0.0,0.0,1.0,0.0
missandei,0.296,0.0,1.704,0.6369
daughter,0.0,0.0,1.0,0.0
crowd,0.0,0.0,3.0,0.0
