,Positive,Negative,Neutral,Compound
guard,1.4569999999999999,1.0,5.543,0.851
rennick,1.508,2.648,3.844,-1.428
man,0.0,0.0,5.0,0.0
men,0.0,0.0,1.0,0.0
roose bolton,1.323,0.911,3.7659999999999996,0.36649999999999994
robb stark,2.808,7.759,7.433,-2.9532
wounded soldier,0.0,1.5739999999999998,1.426,-0.9285999999999999
talisa,0.22,2.545,12.235,-1.2953999999999999
joffrey lannister,2.042,2.491,13.467,-0.23930000000000023
sansa stark,1.318,0.0,0.682,1.2993999999999999
lancel,2.066,3.281,11.654,-0.16049999999999986
tyrion lannister,5.1450000000000005,4.031,17.823999999999998,1.6267999999999998
meryn,0.378,0.351,1.27,0.0516
bronn,0.615,0.591,1.794,-0.29200000000000004
sandor clegane,1.0,0.0,1.0,0.4215
daisy,2.737,0.0,0.263,1.2645
ros,2.206,0.306,1.4889999999999999,1.6733
renly,4.318,2.096,8.584999999999999,1.0277
petyr baelish,5.566000000000001,2.479,13.952999999999998,2.7947
margaery tyrell,0.548,0.618,5.835,-0.09210000000000007
daenerys targaryen,2.282,2.9299999999999997,7.787999999999999,-0.3320000000000001
kovarro,0.559,0.0,2.441,0.5859
jorah mormont,0.615,0.0,2.385,0.1531
hot pie,0.0,0.0,5.0,0.0
arya stark,0.583,0.811,6.606,-0.22709999999999997
gendry baratheon,0.0,0.811,3.189,-0.6486
soldier,0.0,0.0,1.0,0.0
woman,0.0,0.462,1.538,-0.6486
catelyn stark,2.61,2.253,6.136,0.24609999999999993
mountain,0.0,0.0,3.0,0.0
tickler,1.0,0.0,6.0,0.4215
prisoner,0.0,0.0,3.0,0.0
stannis baratheon,2.506,4.825,8.668999999999999,-2.0719
melisandre,2.1029999999999998,1.9460000000000002,8.950999999999999,-0.26400000000000023
spice king,1.123,1.8780000000000001,11.000000000000002,-1.0366
spice,0.0,0.0,1.0,0.0
xaro,0.0,0.913,5.087,-1.3597000000000001
tywin lannister,0.27,1.7630000000000001,2.967,-1.4243000000000001
polliver,0.0,0.0,2.0,0.0
davos,5.779999999999999,2.069,8.151,2.0529
