,Positive,Negative,Neutral,Compound
jon snow,1.0,0.0,2.0,0.4939
alliser,0.463,1.095,0.44199999999999995,-0.798
sam,3.849,3.64,8.509999999999998,0.4809000000000001
aemon,1.455,0.0,3.545,1.2756
sansa stark,1.2229999999999999,2.514,7.262,-0.4404000000000002
theon greyjoy,0.0,3.502,1.4980000000000002,-2.3084
ramsay bolton,1.802,2.371,7.827,-0.44499999999999995
gilly,1.113,4.984,5.904,-1.086
brothers,0.0,0.0,1.0,0.0
davos,2.2889999999999997,1.175,3.536,-0.17410000000000003
stannis baratheon,2.572,2.124,6.304,0.19090000000000013
melisandre,1.958,2.111,3.931,-0.2148999999999998
derryk,5.076,2.576,2.349,1.6736999999999995
bran stark,2.25,2.374,3.376,-0.3975
sammy,0.0,0.0,1.0,0.0
malko,1.553,0.347,3.1,0.011700000000000044
slave buyer,0.0,0.0,1.0,0.0
tyrion lannister,2.373,0.565,3.062,0.5746
buyer,1.0,0.0,0.0,0.5994
buer,0.492,0.0,0.508,0.4404
daario,0.462,2.731,8.807,-1.5694000000000004
daenerys targaryen,0.293,2.551,5.156,-1.7896999999999998
olenna tyrell,2.6130000000000004,3.7049999999999996,11.682,-3.6292000000000004
sparrow,4.001,2.78,15.218000000000002,-0.9828
squire,0.0,0.0,1.0,0.0
cersei lannister,4.877000000000001,4.885,12.238000000000001,-0.7844
tommen lannister,1.0,1.4289999999999998,1.571,-0.7719999999999999
areo,0.528,0.0,0.472,0.6808
myrcella,1.457,0.0,3.543,0.8869
jaime lannister,0.524,0.802,3.674,-0.7706
bronn,1.616,1.011,9.373,0.6769000000000001
tyene,4.397,1.321,8.282,2.1077
obara,1.198,0.333,0.46799999999999997,0.7638
petyr baelish,3.269,0.6739999999999999,4.057,0.9663999999999999
slave owner,0.252,0.377,0.371,-0.5719
owner,1.405,0.428,2.1679999999999997,1.1276
men,0.507,0.428,1.066,0.296
hizdahr,0.575,0.176,1.249,0.8032999999999999
jorah mormont,0.42,0.0,0.58,0.4404
margaery tyrell,0.49,2.183,0.327,-0.2703
end,0.0,0.0,1.0,0.0
