,Positive,Negative,Neutral,Compound
jaime lannister,10.071000000000002,8.044,29.885,-1.1135999999999995
tywin lannister,3.703,1.8250000000000002,8.472999999999999,1.8578999999999999
bronn,1.318,2.05,7.632,-0.35779999999999995
tyrion lannister,6.664000000000001,7.547000000000001,30.789,1.2805
podrick,0.0,0.158,1.842,-0.4588
dornish lord,0.474,0.0,1.526,0.4019
oberyn martell,3.573,5.932,21.495000000000005,-1.6419000000000001
ellaria,2.7960000000000003,2.7960000000000003,3.408,-0.10449999999999993
whore,0.0,0.0,1.0,0.0
olyvar,0.556,0.0,5.444,0.3612
morgan,0.0,1.464,3.5360000000000005,-1.5456999999999999
morgans friend,0.582,0.418,1.0,0.2263
jorah mormont,0.0,0.0,2.0,0.0
daenerys targaryen,1.781,1.076,12.143,0.6105000000000003
barristan,2.22,0.0,0.78,1.2645
crowd,0.0,0.0,1.0,0.0
missandei,3.2199999999999998,0.419,1.361,1.3776
daario,2.641,1.326,6.033,1.0968999999999998
grey worm,0.574,0.0,0.426,0.4019
shae,3.677,3.6550000000000002,10.668000000000001,0.7876000000000002
sansa stark,1.413,1.5350000000000001,5.052,-0.19419999999999998
qyburn,1.516,0.0,1.484,1.3298
cersei lannister,3.3049999999999997,3.376,11.319000000000003,-1.9828999999999999
marei,0.831,0.0,0.169,0.5994
tormund,0.314,1.259,7.4270000000000005,-0.7773
ygritte,0.4,0.6,2.0,-0.2732
warg,0.0,0.0,1.0,0.0
styr,0.603,1.527,4.87,-0.8773000000000001
officer,0.0,0.697,0.303,-0.3182
jon snow,1.6960000000000002,4.187,8.118,-3.6243
sam,1.0,1.756,1.244,-0.6874
alliser thorne,0.705,1.944,5.352,-1.811
janos slynt,0.474,1.103,3.423,-0.9394
maester aemon,0.697,0.0,3.303,0.3182
janos slunt,0.0,0.0,1.0,0.0
olenna tyrell,1.201,2.516,6.283,0.17680000000000018
margaery tyrell,0.0,0.417,3.583,-0.6486
brienne,2.763,1.119,4.119,0.7016
joffrey lannister,1.059,1.198,4.743,-0.23030000000000006
meryn,0.583,0.0,1.417,0.6369
ser dontos,1.936,1.692,2.371,-0.6653
arya stark,2.8899999999999997,4.244,10.867,-2.4715000000000003
sandor clegane,1.572,5.261000000000001,13.167,-2.2153
man,0.0,1.0,1.0,-0.0516
innkeeper,0.0,0.0,1.0,0.0
polliver,1.731,2.608,10.661,-1.3733
