,Positive,Negative,Neutral,Compound
melisandre,0.277,0.0,1.7229999999999999,0.3182
stannis baratheon,0.213,2.164,5.623,-0.7092
soldier,3.149,0.0,2.851,1.686
jon snow,1.89,4.186,13.924000000000001,-0.4644999999999999
sam,1.986,2.208,7.806,-1.0907999999999998
podrick,0.0,0.275,1.725,-0.2263
brienne,0.076,0.786,2.1390000000000002,-1.4655
ramsay bolton,0.722,0.556,0.722,0.02059999999999995
survivor,0.0,0.0,1.0,0.0
myranda,0.0,0.394,2.606,-0.8316
theon greyjoy,0.0,0.0,1.0,0.0
sansa stark,0.0,0.565,0.435,-0.5994
man,0.0,1.0,1.0,-0.8625
meryn,0.0,1.0,0.0,-0.2732
arya stark,1.291,1.251,3.457,-0.41490000000000005
jaqen hghar,0.219,2.609,2.1719999999999997,-1.7703
waif,1.0,1.0,1.0,-0.11549999999999999
doran,0.744,0.0,0.256,0.4404
jaime lannister,2.515,2.177,6.307,1.1829999999999998
ellaria,0.851,0.0,0.149,0.6908
bronn,0.5,0.0,1.5,0.4588
tyene,0.0,0.636,1.3639999999999999,-0.5423
myrcella,1.75,0.0,1.25,1.1399
tyrion lannister,2.826,3.2169999999999996,10.956999999999999,-1.1434
daario,1.949,2.823,8.228,0.5844
grey worm,0.0,0.722,3.278,-0.3818
jorah mormont,1.216,1.236,5.548,-0.8301
missandei,1.9420000000000002,0.71,1.3479999999999999,0.8763000000000001
voice,1.0,0.0,0.0,0.4939
varys,1.485,1.149,1.3649999999999998,0.47419999999999995
daenerys targaryen,0.261,0.565,3.174,-0.5423
septa,0.0,1.0,1.0,-0.8519
cersei lannister,2.3120000000000003,1.605,8.085,1.0316999999999998
sparrow,1.864,2.676,8.46,-0.47130000000000005
crowd,0.106,0.813,0.081,-0.8658
woman,0.0,0.0,1.0,0.0
qyburn,1.7280000000000002,0.486,0.7869999999999999,0.10799999999999998
davos,0.318,0.458,3.223,-0.3612
olly,0.302,0.0,2.698,0.3818
alliser,0.0,0.0,2.0,0.0
brother,0.0,0.0,1.0,0.0
end,0.0,0.0,2.0,0.0
