,Positive,Negative,Neutral,Compound
sam,7.238999999999999,9.163,27.597,-2.0429
jon snow,1.025,6.375000000000001,26.600999999999996,-4.5187
tormund,0.4,0.825,4.775,0.02760000000000007
ygritte,0.607,2.633,9.76,-2.1471
styr,1.151,0.688,2.161,0.3477
aemon,2.1180000000000003,1.3,5.582,2.2118
pyp,0.0,3.5700000000000003,6.43,-3.2831
gilly,1.371,3.302,6.327,-2.4841
alliser,2.48,3.1479999999999997,9.372000000000002,-2.5826000000000002
thenn warg,0.0,0.0,1.0,0.0
janos,0.0,1.565,4.435,-1.2875999999999999
nights watch,0.0,0.0,1.0,0.0
member,0.0,0.0,0.0,0.0
grenn,1.0,1.046,6.954,-1.1073
ed,0.845,0.9430000000000001,5.212,-0.22139999999999993
donnel,0.762,0.0,2.238,0.7506
cooper,0.0,0.0,1.0,0.0
all together,0.345,0.194,0.461,0.6808
