,Positive,Negative,Neutral,Compound
jorah mormont,1.55,0.0,3.45,1.1484
daenerys targaryen,0.649,0.286,8.065,0.5203
doreah,1.776,0.51,7.7139999999999995,1.4644
irri,0.374,0.516,3.11,-0.3182
viserys targaryen,0.7070000000000001,0.559,1.734,0.016700000000000048
joffrey lannister,0.5660000000000001,3.271,11.163,-2.8480000000000003
tyrion lannister,3.15,2.536,13.314,-1.3444000000000003
sandor clegane,0.0,1.186,2.814,-1.1942
jaime lannister,0.8140000000000001,0.485,7.701,0.7074
myrcella baratheon,0.0,0.796,0.204,-0.5994
cersei lannister,2.386,4.149,10.465000000000002,-0.43910000000000005
catelyn stark,5.563000000000001,2.8090000000000006,8.626999999999999,2.3646
jon snow,4.624,2.864,11.512,1.0755000000000001
arya stark,1.636,4.971,8.392999999999999,-2.3927
eddard stark,3.802,1.999,19.199,1.0849000000000002
robb stark,0.0,2.523,10.477,-2.7292000000000005
robert baratheon,2.501,5.449,13.051000000000002,-3.0621000000000005
benjen stark,0.0,0.0,1.0,0.0
maester luwin,0.234,0.517,4.249,-0.7717
assassin,0.284,0.489,0.227,-0.4215
jhiqui,0.0,0.0,0.0,0.0
theon greyjoy,0.0,0.0,2.0,0.0
rodrick cassel,0.118,0.933,1.95,-1.1675
sansa stark,0.697,0.917,9.386,-0.44240000000000007
mycah,0.0,0.0,3.0,0.0
soldier,1.3199999999999998,0.0,4.68,0.843
jory cassel,0.487,0.0,3.513,0.2263
