,Positive,Negative,Neutral,Compound
jon snow,1.314,1.0,2.686,0.34550000000000003
eddard stark,0.0,0.0,1.0,0.0
bran stark,3.893,1.706,10.399999999999999,0.9334
jojen,3.0,3.021,10.979,-0.9136999999999998
hodor,0.0,0.0,1.0,0.0
osha,0.69,2.793,10.517,-1.9071
talisa,0.0,1.2229999999999999,6.777,-1.7288999999999999
robb stark,1.549,1.8090000000000002,5.6419999999999995,-0.8144999999999999
roose bolton,0.836,0.0,1.164,0.6249
catelyn stark,1.028,0.851,8.122,-0.42310000000000003
theon greyjoy,1.538,2.373,3.089,-0.4145
torturer,2.0,0.0,2.0,0.6364
jaime lannister,2.8970000000000002,6.502,24.601999999999997,-1.8458999999999997
brienne,3.227,0.487,11.286000000000001,1.4788000000000001
man,3.181,0.517,3.3009999999999997,1.5948000000000002
joffrey lannister,1.3780000000000001,5.403,15.219999999999999,-1.9451999999999998
cersei lannister,1.873,0.0,5.127,1.2951000000000001
tailor,1.0,0.0,0.0,0.4215
shae,4.807,5.026,5.167,-0.41200000000000003
sansa stark,5.177,0.496,9.327,4.0249
guard,0.0,0.0,2.0,0.0
loras,0.494,0.375,3.1310000000000002,0.5478000000000001
margaery tyrell,7.835,2.341,11.823,3.0589
maid,0.0,0.0,0.0,0.0
olenna tyrell,3.913,4.158,9.929,0.2584
servant,0.0,0.0,1.0,0.0
rickard karstark,1.035,3.7359999999999998,3.229,-1.9882
mance,0.46900000000000003,2.182,5.35,-2.6726
tormund,0.0,0.0,0.0,0.0
ygritte,0.0,0.0,1.0,0.0
orell,0.0,0.811,1.189,-0.6486
rast,0.106,1.242,5.651999999999999,-1.5445000000000002
grenn,0.0,1.0,2.0,-0.5994
sam,1.0,0.0,1.0,0.4939
dolorous edd,1.0,1.494,0.506,-0.7049000000000001
jeor,1.697,0.756,1.547,-0.03510000000000002
meera,0.804,2.677,0.519,-0.5463999999999999
gendry baratheon,0.0,2.1,6.9,-2.0167
arya stark,1.167,2.813,12.02,-0.8755999999999999
thoros,2.1849999999999996,5.525,20.289999999999996,-3.1631
hot pie,0.0,0.348,1.6520000000000001,-0.4939
anguy,1.0,1.692,5.308,-0.5044
tyrion lannister,1.997,4.856,10.146999999999998,-2.5696000000000003
ramsay bolton,0.0,0.0,2.0,0.0
men,1.0,0.0,1.0,0.296
sandor clegane,0.0,1.433,1.567,-1.1282
locke,0.0,0.0,3.0,0.0
