,Positive,Negative,Neutral,Compound
nights watchman,0.8400000000000001,1.568,6.5920000000000005,-1.0991
davos,1.821,2.417,9.762,-0.9246
dolorous edd,1.506,0.853,3.642,0.3569
melisandre,0.0,0.556,1.444,-0.3612
male voice,0.0,0.0,1.0,0.0
alliser thorne,0.485,1.552,3.962,-1.4003
nights watchmen,0.0,1.0,0.0,-0.6486
ramsay bolton,0.592,0.524,5.884,-0.07020000000000004
maester wolkan,0.0,0.394,0.606,-0.3818
roose,1.634,1.0510000000000002,3.315,0.3667999999999999
theon greyjoy,0.0,1.573,6.427,-1.4203000000000001
sansa stark,0.0,0.926,2.074,-0.651
bolton officer,0.0,1.423,1.577,-0.8066
brienne,0.0,0.13,0.87,-0.0516
podrick,0.0,0.0,1.0,0.0
handmaiden,0.295,0.284,0.421,0.0258
cersei lannister,1.403,3.234,5.362,-1.9006999999999998
jaime lannister,0.0,1.524,2.476,-1.2685
septa unella,0.122,0.53,2.348,-0.8555
margaery tyrell,0.0,0.429,3.5709999999999997,-0.128
sparrow,0.745,0.669,4.587,0.5025000000000001
doran,1.6440000000000001,0.246,4.11,1.7404000000000002
ellaria,0.138,1.812,1.051,-2.4541
maester,0.0,0.0,1.0,0.0
trystane,0.0,0.773,1.227,-0.5267
obara,0.73,1.0,1.27,-0.2889
nymeria,0.0,1.0,0.0,-0.7269
tyrion lannister,1.599,2.748,7.654000000000001,-0.4625999999999999
varys,0.778,1.256,7.966,-1.0381
listeners,0.0,0.643,0.357,-0.5574
red priest,0.375,0.5,1.125,-0.14300000000000002
daario,3.408,1.433,6.159,1.2200000000000002
jorah mormont,2.0,0.0,4.0,0.45349999999999996
bloodrider,0.6819999999999999,2.535,9.783,-1.978
wife,0.0,1.627,3.373,-1.4792
khal moro,2.133,2.077,3.79,-0.060299999999999965
daenerys targaryen,0.398,0.0,5.602,0.5106
arya stark,0.0,0.0,0.0,0.0
waif,0.0,1.263,1.737,-1.3489
