,Positive,Negative,Neutral,Compound
bran stark,0.0,0.277,3.723,-0.3182
meera,0.0,0.683,0.317,-0.6486
rider,0.447,0.9690000000000001,2.584,0.011099999999999999
gilly,1.058,3.528,15.412999999999998,-1.6673
sam,2.746,2.265,26.988,-0.3049
melessa,3.4930000000000003,1.152,9.355,1.7843999999999998
talla,0.0,0.0,3.0,0.0
tommen lannister,2.135,4.14,9.725,-1.3299999999999998
sparrow,3.6449999999999996,1.122,6.234000000000001,1.2195
margaery tyrell,2.581,1.692,2.727,0.6449
dickon,0.0,0.0,4.0,0.0
randyll,0.336,1.437,7.226,-2.4078
clarenzo,1.182,1.7160000000000002,3.1020000000000003,-0.19709999999999994
all,0.394,0.0,0.606,0.1531
bobono,0.766,2.838,4.395999999999999,-1.014
lady crane,3.842,3.8280000000000003,6.3260000000000005,-0.30690000000000006
izembaro,1.865,3.5709999999999997,8.565,-1.6969
camello,0.483,0.825,0.692,-0.15039999999999998
arya stark,1.5070000000000001,1.2389999999999999,3.255,-0.8593
bianca,0.661,0.0,0.339,0.5994
jaqen hghar,0.0,1.608,0.392,-1.0190000000000001
waif,1.0,0.0,1.0,0.3612
mace,0.173,0.324,2.503,-0.4019
jaime lannister,0.469,1.337,10.194,-1.2515000000000003
captain,0.0,0.0,3.0,0.0
woman,0.359,0.0,0.641,0.4215
olenna tyrell,0.0,0.737,0.263,-0.4215
walder,1.581,4.0,4.419,-2.8006999999999995
black walder,0.489,0.511,3.0,-0.0258
lothar,0.655,0.0,2.3449999999999998,0.2263
cersei lannister,1.316,0.72,2.964,0.14070000000000005
benjen,0.813,0.318,4.869999999999999,-0.3572
daario,0.286,0.0,5.714,0.34
daenerys targaryen,0.519,0.8029999999999999,5.678,-0.5581
