,Positive,Negative,Neutral,Compound
waymar royce,0.0,0.528,1.472,-0.7717
will,0.677,1.315,4.008,-1.1818
gared,0.0,0.474,1.526,-0.4019
royce,0.0,2.466,1.534,-1.9777
jon snow,1.837,2.196,11.967999999999998,-0.7816999999999998
septa mordane,1.73,0.0,0.27,1.0465
sansa stark,4.474,0.767,5.759,1.6692999999999998
eddard stark,6.704,5.509,36.785,-0.7717000000000006
robb stark,0.951,0.444,6.605,0.5219
jonrobb,0.0,0.0,1.0,0.0
cassel,0.0,0.0,3.0,0.0
catelyn stark,4.63,4.88,21.488999999999997,-2.7919
bran stark,1.583,1.811,4.606,-0.43559999999999993
theon greyjoy,0.0,1.674,4.326,-1.1755
jaime lannister,2.886,2.2520000000000002,6.861999999999999,0.3266999999999999
cersei lannister,5.4799999999999995,0.716,7.804,2.9560999999999997
maester luwin,0.0,0.0,1.0,0.0
luwin,1.09,0.0,3.91,1.4546000000000001
arya stark,0.0,0.0,3.0,0.0
robert baratheon,3.556,2.566,9.879,-0.48839999999999995
tyrion lannister,3.787,4.656000000000001,10.557,-1.3145999999999998
ros,0.444,0.268,6.288,0.19790000000000002
viserys,4.105,2.6,7.295,1.1279
daenerys targaryen,0.565,0.0,6.435,0.5994
maid,0.0,0.0,1.0,0.0
illyrio,2.5980000000000003,1.326,8.076,1.4864000000000002
benjen,1.098,3.674,7.228,-0.6824999999999999
a voice,0.0,0.0,1.0,0.0
jorah mormont,0.629,0.0,2.371,0.8808
khal drogo,0.0,0.0,0.0,0.0
sandor clegane,0.0,0.583,2.417,-0.1027
