,Positive,Negative,Neutral,Compound
jon snow,2.773,3.841,18.386,-1.0733
gendry baratheon,0.0,2.028,5.972,-1.3446
tormund,3.9350000000000005,5.584,11.481,-2.1074
thoros,0.375,0.762,2.863,-0.29159999999999997
beric,2.3770000000000002,3.124,3.499,-0.8872
sandor,0.601,9.837000000000002,23.561999999999998,-4.9223
jorah mormont,0.195,2.448,8.357,-2.0595
arya stark,1.114,5.426,13.460999999999999,-6.7616000000000005
sansa stark,2.8640000000000003,3.3400000000000007,7.796,-0.1137999999999999
tyrion lannister,2.918,0.46799999999999997,3.614,2.3821
daenerys targaryen,2.093,0.298,1.609,1.6347
