,Positive,Negative,Neutral,Compound
hizdahr,1.0,2.0,4.0,-0.8143000000000001
daenerys targaryen,1.7790000000000001,1.5950000000000002,8.626999999999999,-0.6325000000000001
daario,0.271,0.09,0.638,0.5267
man,0.0,2.27,5.73,-2.1485
sam,5.395999999999999,1.178,11.426,2.5019
aemon,0.614,2.814,2.574,-1.8259999999999996
jon snow,2.7190000000000003,5.619000000000001,13.662,-2.4597
tormund,1.026,1.5,8.474,-0.9345
stannis baratheon,0.865,2.796,7.338000000000001,-2.445300000000001
davos,3.327,0.532,5.140000000000001,2.1043
allister,0.0,0.333,0.667,-0.3612
edd,0.093,0.684,0.222,-0.936
olly,0.522,0.179,2.299,0.5106
podrick,0.0,0.0,1.0,0.0
brienne,0.744,0.609,6.647,-0.3912
ramsay bolton,4.045999999999999,8.437,13.517000000000001,-5.293100000000001
myranda,2.703,0.0,7.297,2.3543
woman,0.538,0.417,1.045,-0.0837
sansa stark,1.0,0.783,4.217,0.1901
theon greyjoy,0.677,0.815,3.508,-0.38649999999999995
roose,1.029,1.52,8.451,0.13760000000000006
walda,0.0,1.0,3.0,-0.5106
gilly,0.0,0.0,5.0,0.0
shireen,1.0,2.0,2.0,-0.504
selyse,0.0,0.592,0.408,-0.7003
missandei,1.26,2.856,2.884,-1.2905000000000002
grey worm,0.0,2.28,1.72,-2.5463
tyrion lannister,2.054,1.452,13.492999999999999,-0.4023
jorah mormont,0.375,0.403,9.222,0.056900000000000006
