,Positive,Negative,Neutral,Compound
sandor clegane,0.965,2.784,5.25,-1.8507
arya stark,0.0,2.0,3.0,-1.0034
barristan,3.632,0.194,2.174,2.7034000000000002
jorah mormont,1.001,2.097,3.902,-1.7389999999999999
daenerys targaryen,3.821,10.513,16.666,-3.411200000000001
daario,2.925,5.045,10.030000000000001,-1.6695
mero,2.3329999999999997,7.91,8.756,-4.2845
prendahl,1.0,1.049,3.9509999999999996,-0.3818
grey worm,0.0,0.0,1.0,0.0
stannis baratheon,2.085,2.919,11.994,-1.7548
melisandre,1.949,6.0889999999999995,8.962000000000002,-3.3293
davos,3.396,4.069,4.536,-1.5288999999999997
tyrion lannister,4.691,4.443,14.864999999999998,-1.3616000000000001
sansa stark,5.41,1.123,3.4669999999999996,2.2989
margaery tyrell,2.4619999999999997,0.0,2.538,1.5263000000000002
cersei lannister,3.2760000000000002,0.909,7.815,2.6243
joffrey lannister,1.7600000000000002,0.147,7.093,1.8391000000000002
septon,0.337,0.0,1.663,0.6808
gendry baratheon,1.2610000000000001,0.491,5.248,0.27479999999999993
olenna tyrell,0.0,0.119,0.881,-0.4019
tywin lannister,1.127,1.8770000000000002,2.9970000000000003,0.06429999999999997
loras,0.0,0.0,1.0,0.0
missandei,2.064,0.574,3.362,0.9412
shae,0.0,0.0,1.0,0.0
sam,1.392,1.375,14.233,0.3188
gilly,1.512,2.1799999999999997,10.308,-0.4295
