,Positive,Negative,Neutral,Compound
davos,1.38,2.349,3.271,-1.085
jon snow,1.0,3.492,5.508,-1.9971999999999999
melisandre,0.385,1.0,0.615,-0.3967
tormund,0.796,0.581,0.623,-0.2207
dolorous edd,1.0,0.0,3.0,0.4404
gilly,1.512,0.767,8.721,0.743
sam tarly,4.534,0.0,4.466,2.9421
bran stark,0.0,1.0,12.0,-0.4404
threeeyed raven,0.0,0.643,9.357,-0.3818
arthur,0.615,0.783,2.6020000000000003,-0.0635
eddard stark,0.145,0.575,2.279,-0.8271
kingsguard,0.444,0.0,0.556,0.4939
bloodrider,0.0,0.636,0.364,-0.5423
khal moro,0.0,0.0,1.0,0.0
dothraki woman,0.0,0.0,0.0,0.0
daenerys targaryen,0.0,0.722,3.278,-0.6369
dothraki matron,0.392,0.6659999999999999,1.942,-0.6593
varys,2.7960000000000003,2.2079999999999997,7.9959999999999996,1.7163
woman,0.0,1.0,0.0,-0.5994
vala,0.248,1.855,0.897,-2.0002
tyrion lannister,3.6359999999999997,0.64,9.724,3.3154000000000003
grey worm,0.0,2.0,3.0,-0.7636
missandei,0.444,0.0,3.556,0.34
qyburn,3.414,0.0,4.586,2.7804
little bird,1.0,0.0,1.0,0.4215
cersei lannister,0.972,2.475,3.552999999999999,-0.8235
jaime lannister,0.637,1.4190000000000003,4.944,-0.9233
maester pycelle,0.0,0.956,2.044,-1.6675
kevan,0.0,0.747,1.2530000000000001,-0.7096
mace tyrell,0.0,0.0,1.0,0.0
lady olenna,0.0,0.611,1.389,-0.7369000000000001
sparrow,5.113,1.8070000000000002,5.0809999999999995,3.0734
tommen lannister,0.0,0.259,6.741,-0.2732
waif,0.492,2.398,4.109999999999999,-1.2171999999999998
arya stark,0.0,2.779,8.221,-2.454
jaqen hghar,0.0,0.762,1.238,-0.4939
ramsay bolton,2.76,1.576,9.664,0.6451
lord karstark,0.608,0.0,1.392,0.4767
smalljon,2.678,2.9110000000000005,7.412,-0.7718000000000004
bowen marsh,1.0,0.0,0.0,0.3818
othell yarwick,0.0,0.504,0.496,-0.7269
alliser throne,0.093,1.104,0.8029999999999999,-1.6235
