,Positive,Negative,Neutral,Compound
renly,1.062,2.5949999999999998,3.343,-0.8042
catelyn stark,1.8900000000000001,4.599,12.511,-2.0780000000000003
brienne,1.029,2.278,7.6930000000000005,0.7671
soldier,0.0,1.0,1.0,-0.5994
man,2.6340000000000003,0.0,3.3659999999999997,1.1804999999999999
margaery tyrell,1.359,1.059,5.582000000000001,-0.12609999999999988
petyr baelish,2.2409999999999997,0.29,5.468,1.5626
loras,1.93,1.52,2.55,-0.06219999999999992
cersei lannister,1.487,1.0,5.513,0.46940000000000004
tyrion lannister,6.8759999999999994,7.297,17.826999999999995,-0.007000000000000006
lancel,0.962,0.777,8.261000000000001,-0.2219
bronn,2.453,2.5869999999999997,6.96,-1.7299000000000002
davos,4.6080000000000005,1.656,6.734999999999999,2.3499999999999996
stannis baratheon,3.144,1.7069999999999999,7.149,0.3533
girl,0.0,0.0,0.0,0.0
protester,0.097,0.338,1.564,-0.6908
crowd,0.0,0.0,0.0,0.0
theon greyjoy,0.6799999999999999,1.569,9.75,-0.8410000000000002
black lorren,0.0,0.242,2.758,-0.7003
yara greyjoy,1.11,0.0,2.8899999999999997,1.0933000000000002
dagmer,1.177,0.0,2.823,1.2417
reginald,0.492,0.149,2.359,0.3377
tywin lannister,0.182,0.444,11.374,-0.8885
amory,0.159,0.0,0.841,0.1779
arya stark,0.0,4.023,11.977000000000002,-3.0818
jaqen hghar,0.678,0.804,5.518999999999999,0.6705
jeor,1.592,0.649,7.759,0.04930000000000001
jon snow,0.0,0.773,7.227,-0.7783
sam,0.89,0.857,4.253,-0.03440000000000004
dolorous edd,1.24,2.019,1.741,-0.5491999999999999
grenn,0.0,0.0,1.0,0.0
dolorous,0.474,0.0,0.526,0.5574
haylene,1.167,2.5220000000000002,4.311,-1.266
daenerys targaryen,7.722000000000001,4.797000000000001,20.48,1.4068999999999985
doreah,1.032,0.0,2.968,0.9878
irri,0.0,0.75,3.25,-0.4588
woman,0.0,1.0,2.0,-0.2023
jorah mormont,3.584,1.625,6.791,2.3131999999999997
kovarro,0.0,0.375,1.625,-0.0516
pyatt pree,0.431,0.192,2.3770000000000002,0.1799
xaro,1.536,0.927,9.537,-0.04849999999999999
quaithe,0.219,0.0,2.781,0.4215
winterfell shepherd,0.359,0.545,1.096,-0.5178
bran stark,1.771,1.8359999999999999,6.392999999999999,-0.31859999999999994
luwin,0.0,0.171,0.829,-0.0609
hodor,0.0,0.0,1.0,0.0
rodrik,0.278,0.455,3.267,0.04069999999999996
osha,0.325,3.257,4.418,-1.9807000000000001
qhorin,1.484,0.501,6.015000000000001,1.0505
gendry baratheon,0.0,1.0,1.0,-0.3612
gold cloak,0.0,1.811,1.189,-0.7513
