,Positive,Negative,Neutral,Compound
sansa stark,3.5469999999999997,4.196,18.255999999999997,-1.8974000000000006
man,0.322,0.0,5.678,0.6908
petyr baelish,0.388,3.296,8.316,-1.8088000000000002
brienne,0.7869999999999999,0.264,4.949,-0.12880000000000008
waif,0.714,0.0,1.286,0.3612
jaqen hghar,1.892,0.895,7.213,0.7050000000000001
arya stark,0.0,1.912,6.088,-1.6497000000000002
izembaro,0.31,1.506,5.183999999999999,-1.5545
clarenzo,1.017,0.642,1.3410000000000002,0.5829
ladyc rane,0.365,0.079,0.556,0.802
camello,1.907,2.608,4.484999999999999,-0.023100000000000065
bobono,2.867,0.897,4.236,2.0415
lady crane,2.6950000000000003,1.0,6.305,0.4235000000000001
bianca,1.762,0.643,3.5949999999999998,0.7855
bran stark,1.0,0.0,4.0,0.3612
leaf,0.0,0.6,1.4,-0.7184
aeron,0.9100000000000001,1.941,3.149,-1.222
yara greyjoy,1.094,0.719,8.187999999999999,-0.46670000000000006
all,0.0,1.0,1.0,-0.8481
theon greyjoy,0.9500000000000001,0.189,6.86,1.1002
euron greyjoy,1.903,2.347,10.749999999999998,-2.2380999999999998
aerson,0.106,0.187,0.707,-0.3818
daenerys targaryen,0.483,0.0,4.5169999999999995,0.4215
jorah mormont,0.627,0.0,1.373,0.8555
varys,2.4499999999999997,1.6430000000000002,4.908,-0.05930000000000002
grey worm,0.0,0.0,1.0,0.0
tyrion lannister,4.221,0.969,5.8100000000000005,3.7323999999999997
missandei,0.677,0.0,0.323,0.6369
kinvara,2.564,1.645,5.7909999999999995,1.4506000000000001
threeeyed raven,0.615,1.09,3.295,0.39070000000000005
meera,0.0,1.29,17.71,-1.1988
hodor,0.0,0.0,3.0,0.0
jon snow,0.0,0.0,6.0,0.0
davos,2.189,0.908,4.903,1.8552
dolorous edd,1.272,0.358,1.37,0.2809
rickard,0.854,0.666,0.481,0.296
young ned,0.0,0.0,1.0,0.0
nan,0.524,0.0,0.476,0.0258
young hodor,0.0,0.0,3.0,0.0
