,Positive,Negative,Neutral,Compound
jaime lannister,3.0,1.0,6.0,1.0117
tywin lannister,2.0,3.215,6.784999999999999,-1.5226
cersei lannister,4.165,2.835,8.0,0.9323000000000001
eddard stark,7.0360000000000005,7.561999999999999,18.402,-0.4962999999999999
ros,1.808,1.0,3.192,0.7096000000000001
petyr baelish,2.723,4.52,8.757000000000001,-0.8254999999999998
theon greyjoy,1.2610000000000001,1.6,8.139,-0.06899999999999995
osha,0.767,1.0,10.233,0.03390000000000004
maester luwin,0.903,0.0,5.0969999999999995,0.33030000000000004
sam tarly,0.0,0.619,9.381,-0.7579
jon snow,0.0,0.63,7.37,-0.5267
night watch stable boy,0.0,0.0,1.0,0.0
renly baratheon,1.383,0.95,3.667,0.0927
robert baratheon,0.0,1.521,4.479,-1.248
barristan selmy,0.0,0.0,2.0,0.0
lord varys,0.346,0.284,2.37,0.128
khal drogo,0.0,1.669,5.331,-1.409
daenerys targaryen,1.617,1.9649999999999999,12.418,0.23479999999999998
jorah mormont,1.401,0.342,6.257,0.8227
deanerys targarian,0.0,0.0,0.0,0.0
little bird,0.0,0.0,1.0,0.0
wine merchant,3.308,0.315,7.376,2.4153
doreah,0.444,0.0,1.556,0.4939
rakharo,0.0,0.0,2.0,0.0
jeor mormont,0.0,0.0,5.0,0.0
jaremy rykker,0.0,0.0,1.0,0.0
othell yarwyck,0.0,0.0,1.0,0.0
maester aemon,0.0,0.0,3.0,0.0
pypar,0.455,0.374,1.171,0.44630000000000003
tell me something,0.0,0.0,1.0,0.0
tomard,0.0,0.0,1.0,0.0
king joffrey,0.0,1.904,0.096,-1.3966
janos slynt,0.0,0.0,1.0,0.0
