,Positive,Negative,Neutral,Compound
old nan,0.0,0.0,1.0,0.0
theon greyjoy,2.377,0.781,6.841999999999999,-0.2612
bran stark,0.0,0.0,3.0,0.0
tyrion lannister,6.26,2.99,14.748000000000001,2.5418
robb stark,0.5,1.0,2.5,0.4072
maester luwin,0.0,0.535,1.465,-0.3182
jon snow,3.0949999999999998,6.557,13.347,-2.6128
grenn,0.0,3.6630000000000003,3.337,-2.02
pyp,0.714,2.0,3.286,-0.7076
alliser thorne,2.5149999999999997,2.6279999999999997,3.858,-0.31789999999999996
sam tarly,2.194,5.425000000000001,12.382,-2.2138
rast,0.318,0.0,1.682,0.6369
jorah mormont,1.53,1.208,6.262,-0.3799000000000001
viserys targaryen,1.498,4.904,10.598,-1.7019000000000002
daenerys targaryen,3.511,1.1480000000000001,9.341000000000001,1.9282000000000001
doreah,2.769,1.8439999999999999,8.387,-0.2934
septa mordane,0.867,4.658,10.475,-2.7384
sansa stark,1.0,4.242,10.758000000000001,-2.6637
janos slynt,0.615,0.5780000000000001,1.807,-0.46540000000000004
eddard stark,7.421,6.401,28.178,-1.1376
varys,0.357,1.318,0.325,-0.2873
renly baratheon,0.467,0.0,0.533,0.5423
petyr baelish,4.217,2.231,9.551,1.5071000000000003
grand maester pycelle,2.013,2.7840000000000003,10.203999999999999,-0.2168
arya stark,0.0,0.362,6.638,-0.5267
jory cassel,2.33,1.214,11.456,0.9545000000000001
hugh of vale,0.0,0.0,2.0,0.0
tobho mott,2.15,0.339,2.513,2.0514
gendry baratheon,0.0,0.545,4.455,-0.5574
jaime lannister,0.951,4.114,4.937,-1.9255999999999998
robert baratheon,0.0,1.318,1.682,-1.1000999999999999
irri,0.0,0.0,1.0,0.0
cersei lannister,1.4,1.145,3.455,-0.2107
marillion,1.223,0.412,2.365,0.6890000000000001
catelyn stark,1.04,0.209,3.751,1.1023
rodrick cassel,0.0,0.0,2.0,0.0
masha heddle,0.0,0.0,3.0,0.0
bronn,0.0,0.0,0.0,0.0
yoren,0.0,0.0,1.0,0.0
knight of house whent,0.0,0.0,1.0,0.0
knight of house bracken,0.877,0.0,0.123,0.7964
