,Positive,Negative,Neutral,Compound
kings landing guard,0.408,0.0,1.592,0.7351
eddard stark,9.661000000000001,8.226,24.111999999999995,0.5355999999999997
jory cassel,0.0,0.0,1.0,0.0
jaime lannister,2.519,4.772,8.709999999999999,-3.924899999999999
varys,3.0999999999999996,0.857,4.043,1.4783
renly baratheon,0.444,0.367,3.189,0.31020000000000003
petyr baelish,3.72,3.44,15.839999999999998,-1.1331
grand maester pycelle,1.257,1.112,2.6310000000000002,0.376
cersei lannister,1.327,5.048,11.622999999999998,-1.9626000000000001
joffrey lannister,0.779,2.2430000000000003,5.978,-0.4992
septa mordane,0.0,0.0,4.0,0.0
arya stark,1.3519999999999999,5.166,11.482,-3.0373
sansa stark,0.913,1.517,1.57,-0.48879999999999996
old nan,0.262,1.237,2.5,-1.854
bran stark,0.913,2.577,0.51,-1.2416999999999998
robb stark,0.0,0.0,3.0,0.0
rodrick cassel,0.0,0.0,2.0,0.0
catelyn stark,1.325,3.234,12.441,-0.8419000000000001
guard,0.0,0.0,3.0,0.0
alliser thorne,0.359,0.588,1.053,-0.7442000000000001
tyrion lannister,5.721,1.509,16.770000000000003,3.2741
jeor mormont,0.342,0.64,4.0169999999999995,-0.5628
grenn,0.0,0.863,3.137,-0.743
jon snow,2.0,1.545,8.455,0.19650000000000004
pyp,0.0,0.0,1.0,0.0
rast,1.0,0.0,0.0,0.4939
robert baratheon,0.28600000000000003,1.177,3.536,-2.5526
barristan selmy,1.655,0.0,3.3449999999999998,0.843
lancel lannister,1.0,0.0,1.0,0.4215
jorah mormont,2.069,1.044,10.888,0.8391999999999998
daenerys targaryen,0.0,0.867,3.133,-0.7579
viserys targaryen,0.0,1.1520000000000001,0.8480000000000001,-1.4872
irri,1.725,1.223,6.052,0.47420000000000007
rakharo,0.762,0.495,7.743,-0.10550000000000004
benjen stark,1.2269999999999999,1.122,6.651,0.04729999999999995
yoren,1.193,0.45,6.357,-0.302
rhakaro,0.0,0.0,1.0,0.0
maester aemon,0.556,0.251,3.193,-0.32959999999999995
khal drogo,0.0,0.0,0.0,0.0
syrio forel,0.499,1.875,5.6259999999999994,-1.6633
