,Positive,Negative,Neutral,Compound
syrio forel,1.1059999999999999,3.431,9.463000000000001,-2.0056
steward of house stark,0.0,0.0,1.0,0.0
septa mordane,0.656,0.187,2.1559999999999997,0.6124
sansa stark,4.34,2.237,8.423,1.7026
arya stark,0.536,1.174,5.29,0.16050000000000003
meryn trant,0.0,1.354,2.646,-1.1312
maryn trant,0.0,0.0,0.0,0.0
kings guard,0.0,0.778,0.222,-0.5423
sandor clegane,0.0,0.0,0.0,0.0
stable boy,0.787,0.0,1.213,0.5719
lord varys,2.983,2.467,6.55,-0.009600000000000164
eddard stark,1.177,0.8420000000000001,5.981,0.1522
jeor mormont,1.621,1.18,5.199,0.37149999999999994
othell yarwyck,0.39,0.608,3.002,0.017199999999999993
jon snow,0.0,0.683,3.317,-0.6486
sam tarly,0.0,0.0,1.0,0.0
ser alliser,0.14,0.0,0.86,0.0772
nights watch brother,0.0,0.0,1.0,0.0
grand maester pycelle,1.351,1.819,3.8299999999999996,0.2487999999999999
cersei lannister,1.328,2.3209999999999997,8.352,-1.2719999999999998
petyr baelish,0.839,0.855,1.306,-0.07269999999999999
robb stark,1.122,1.197,4.682,-0.15240000000000004
maester luwin,0.615,0.0,1.385,0.4939
robin arryn,0.0,0.0,2.0,0.0
lysa arryn,2.857,0.457,1.686,1.9606999999999999
catelyn stark,0.974,0.457,2.569,0.29919999999999997
tyrion lannister,0.554,1.0,8.446,0.3332
shagga,0.0,1.0,1.0,-0.4019
tywin lannister,0.444,0.683,7.873,-0.15469999999999995
bronn,0.0,0.0,0.0,0.0
jaime lannister,0.778,0.0,0.222,0.5423
kevan lannister,0.0,0.0,3.0,0.0
messenger,0.0,0.0,1.0,0.0
rodrik cassal,0.0,0.0,1.0,0.0
greatjon umber,0.0,0.744,4.256,-0.4404
theon greyjoy,0.0,0.0,2.0,0.0
stark guard,0.697,0.0,1.303,0.3182
lannister scout,0.0,0.0,2.0,0.0
barristan selmy,2.2199999999999998,1.173,2.607,0.3918999999999999
king joffrey,0.75,0.796,3.4539999999999997,-0.14060000000000006
kings landing page,0.438,0.0,1.562,0.4404
