,Positive,Negative,Neutral,Compound
tyrion lannister,3.2889999999999997,2.633,14.076999999999998,0.8088000000000004
daenerys targaryen,0.6,3.7180000000000004,13.683,-2.4882999999999997
razdal,0.198,2.025,1.7770000000000001,-1.0613000000000001
yezzan,0.103,0.097,0.8,0.0516
grey worm,0.0,0.867,1.133,-0.9186
missandei,0.0,0.703,0.297,-0.7964
belicho,0.0,0.0,0.0,0.0
jon snow,3.216,4.859999999999999,18.924999999999997,-2.611
sansa stark,2.512,6.0249999999999995,7.462999999999999,-3.2279000000000004
ramsay bolton,3.6310000000000002,5.042999999999999,9.325,-1.8633000000000002
davos,1.619,3.807,9.573,-1.8789000000000002
tormund,1.174,5.657,8.17,-3.1595
melisandre,0.0,1.661,4.339,-1.0013
theon greyjoy,0.714,2.783,5.503,-2.8288
yara greyjoy,0.245,1.747,5.008,-0.775
karstark,0.0,0.0,1.0,0.0
smalljon,0.0,0.0,1.0,0.0
all,0.0,0.0,0.0,0.0
man,0.0,0.0,3.0,0.0
