,Positive,Negative,Neutral,Compound
jaime lannister,3.7969999999999997,1.3780000000000001,3.825,1.8502999999999998
tyrion lannister,7.8309999999999995,6.344,19.825000000000003,1.4174999999999995
guard,0.0,0.0,0.0,0.0
prisoner,1.0,0.0,0.0,0.6124
cersei lannister,1.0,0.0,2.0,0.0258
mountain,0.0,1.0,0.0,-0.3612
sandor clegane,0.734,5.938000000000001,8.328,-4.5416
arya stark,0.0,4.418,4.582,-3.2148
dying man,0.6759999999999999,2.362,4.962,-0.49429999999999996
rorge,0.0,0.543,2.457,-0.9169
man,0.0,0.0,3.0,0.0
jon snow,0.266,1.0,5.734,-0.2408
sam,0.0,0.0,1.0,0.0
alliser,0.835,0.391,10.774,0.4836999999999999
janos slynt,0.63,0.0,0.37,0.6249
grenn,0.0,0.0,1.0,0.0
yarwick,0.0,0.0,1.0,0.0
bronn,2.244,3.2420000000000004,14.515,-1.5861
daenerys targaryen,3.939,2.414,13.647,0.5666000000000001
daario,0.99,1.5070000000000001,6.503,-0.35929999999999995
selyse,1.073,1.901,4.025,-1.2028
melisandre,1.4979999999999998,3.0010000000000003,8.501,-0.7925000000000001
jorah mormont,1.087,2.7399999999999998,7.1739999999999995,-2.5615
brienne,1.4100000000000001,4.173,9.416,-1.075
podrick,0.714,1.29,7.996,-1.422
hot pie,0.6669999999999999,0.486,9.845999999999998,0.4376
oberyn martell,1.676,2.987,6.336,-2.9890000000000003
sansa stark,1.318,2.8689999999999998,15.813000000000002,-1.1287
robin,0.193,5.0809999999999995,5.726,-3.2024
petyr baelish,2.9589999999999996,1.0939999999999999,6.946,2.3249000000000004
lysa,0.9770000000000001,2.289,5.734,-1.2887
