,Positive,Negative,Neutral,Compound
braavosi man,0.0,0.423,0.577,-0.765
arya stark,0.306,1.694,11.0,-0.9671
man,0.54,1.0,3.46,0.5203
old man,0.0,1.0,0.0,-0.3182
podrick,0.0,0.268,12.732,-0.296
waitress,0.0,0.0,2.0,0.0
sansa stark,2.083,1.558,4.359,0.5525000000000001
petyr baelish,2.761,2.899,8.339,-0.3392999999999998
brienne,3.069,1.637,16.293999999999997,-0.03439999999999993
guard,0.0,0.0,0.0,0.0
knight,0.0,0.0,2.0,0.0
jaime lannister,2.4939999999999998,1.0,13.506,1.0661
cersei lannister,2.005,4.937,15.058000000000002,-3.5079000000000002
lollys stokeworth,0.311,0.129,0.559,0.6369
lollys,0.0,0.367,2.633,-0.4404
bronn,2.783,0.0,10.217,1.3369
trystane,0.0,0.0,1.0,0.0
areo,0.0,0.722,0.278,-0.3818
ellaria,0.375,3.9659999999999997,3.659,-2.7987
doran,1.142,2.377,3.4809999999999994,-0.5732999999999999
daario,0.831,3.189,4.98,-1.2419000000000002
grey worm,0.0,0.762,1.238,-0.4939
mossador,1.4260000000000002,2.3129999999999997,5.261000000000001,-1.8813999999999997
daenerys targaryen,1.906,3.132,8.962,-0.8159
barristan,4.765999999999999,1.645,3.59,1.4696999999999998
hizdahr,0.0,2.2399999999999998,1.7599999999999998,-1.4502000000000002
tyrion lannister,0.9359999999999999,2.488,10.576,-1.7709000000000001
varys,3.626,0.316,6.058,1.9171
meryn,0.329,0.318,1.353,0.0258
hunters,1.0,0.0,0.0,0.4215
qyburn,1.718,0.0,0.282,0.8272
kevan,1.091,0.075,5.834,0.7974
mace tyrell,0.667,0.0,0.333,0.7184
mace,2.0,0.0,0.0,1.1399
pycelle,1.1789999999999998,0.252,0.569,1.2421
shireen,0.685,0.272,8.043,0.21919999999999998
gilly,1.1360000000000001,0.856,6.008,0.20969999999999994
sam,1.9760000000000002,1.1139999999999999,8.91,-0.7818999999999999
selyse,0.0,1.556,3.444,-0.8095
stannis baratheon,2.067,1.026,4.907,0.6173
jon snow,1.802,3.107,5.090999999999999,0.2505
davos,0.297,0.383,1.3199999999999998,0.10919999999999996
alliser,0.269,0.202,1.529,0.5859
aemon,0.0,0.0,4.0,0.0
janos,1.185,1.3860000000000001,2.4290000000000003,0.5586
men,0.0,0.0,1.0,0.0
shadow tower brother,0.181,0.0,0.819,0.4767
brother,0.0,0.0,1.0,0.0
brothers,0.0,0.0,1.0,0.0
jaqen hghar,0.0,0.0,2.0,0.0
harpy,0.216,0.0,0.784,0.0258
mosador,0.0,0.0,1.0,0.0
crowd,1.0,0.0,3.0,0.6124
end,0.0,0.0,1.0,0.0
