,Positive,Negative,Neutral,Compound
jaime lannister,3.269,5.381,28.349999999999994,-2.3944
bronn,2.38,3.798,12.821000000000002,-1.7384999999999997
randyll,0.444,1.017,9.539,-0.5425
dickon,1.883,0.0,7.117,1.1566
cersei lannister,0.44,0.0,6.5600000000000005,0.6705
tycho,1.8880000000000001,0.6910000000000001,4.421,2.1018
bran stark,3.3859999999999997,3.192,15.422,-1.4914999999999998
petyr baelish,0.858,3.065,5.077,-1.5666999999999998
meera,0.725,2.0380000000000003,3.237,-1.1123
arya stark,1.0670000000000002,5.991,32.94199999999999,-3.0925000000000002
man,0.375,3.875,14.75,-2.5135
sansa stark,5.714,1.948,15.338000000000001,2.2046
podrick,0.0,0.958,4.042,-0.6886
brienne,2.4290000000000003,1.9009999999999998,10.67,-1.002
daenerys targaryen,1.733,6.588,24.679,-4.204199999999999
missandei,1.26,1.229,9.511000000000001,-0.3415
jon snow,3.4659999999999997,3.3800000000000003,24.153999999999996,-1.7120000000000002
tyrion lannister,1.642,3.338,6.02,-2.0073
davos,0.677,0.709,12.614,-0.5342
theon greyjoy,0.044,0.0,4.9559999999999995,0.0516
drogon,0.28200000000000003,0.379,2.339,-0.8357999999999999
archers,0.0,0.0,1.0,0.0
guard,0.0,0.722,0.278,-0.3818
end,1.0,0.0,0.0,0.3612
