,Positive,Negative,Neutral,Compound
eddard stark,6.136000000000001,2.2960000000000003,16.567,2.8624
cersei lannister,1.377,1.131,5.491999999999999,-0.41489999999999994
robert baratheon,3.0650000000000004,3.5320000000000005,10.404,-1.5174999999999996
irri,0.0,0.0,2.0,0.0
daenerys targaryen,0.0,2.113,2.887,-1.4907
robb stark,1.0,2.126,5.8740000000000006,-1.0331000000000001
bran stark,0.0,1.6,5.4,-1.1972
theon greyjoy,1.638,3.496,9.865999999999998,-1.8283999999999998
osha,0.785,0.384,2.831,-0.03279999999999994
wildling,0.0,2.292,3.7079999999999997,-1.8115
tyrion lannister,4.791,1.925,13.284,1.8052000000000001
mord,0.0,0.778,5.2219999999999995,-0.5423
arya stark,0.173,1.063,6.764,-1.3548
syrio forel,0.606,3.545,0.849,-2.7679
viserys targaryen,4.1610000000000005,1.868,12.971,1.7436
jorah mormont,0.087,1.252,10.66,-1.4813999999999998
lysa arryn,1.885,1.972,9.143,0.9159
robin arryn,0.0,0.778,2.222,-0.5423
catelyn stark,0.133,0.286,0.581,-0.5719
knight,3.234,1.084,0.682,1.7636
ser vardis,0.871,0.515,0.614,0.6234999999999999
bronn,0.0,0.0,1.0,0.0
lancel lannister,0.737,0.0,0.263,0.4215
renly baratheon,1.6740000000000002,0.941,2.385,-0.7559
barriston,1.0,0.0,0.0,0.4215
barristan selmy,1.0,0.0,0.0,0.4215
man,0.481,0.768,1.751,-0.29869999999999997
grand maester pycelle,0.39,0.42,6.1899999999999995,0.05349999999999999
petyr baelish,1.166,0.866,2.968,0.7029
beric dondarrion,0.0,0.0,1.0,0.0
mordane,0.0,1.0,7.0,-0.4588
sansa stark,5.097,0.879,10.023000000000001,3.3505000000000007
joffrey lannister,0.276,0.9990000000000001,1.7249999999999999,-1.3616000000000001
ros,1.0,0.385,4.615,-0.03389999999999993
khal drogo,0.0,0.0,2.0,0.0
