,Positive,Negative,Neutral,Compound
man,0.535,0.0,2.465,0.3182
moles town whore,0.732,2.127,2.141,-2.3807
gilly,0.0,0.0,3.0,0.0
sam,0.0,1.677,2.323,-0.9218
jon snow,0.0,0.0,1.0,0.0
grenn,0.169,0.237,4.593,-0.2023
ed,1.0190000000000001,0.399,3.582,-0.06819999999999998
pyp,0.0,0.6,0.4,-0.7184
daenerys targaryen,3.686,3.686,12.628,-0.005600000000000181
missandei,5.26,1.433,5.3069999999999995,1.6995999999999998
grey worm,1.519,0.651,4.83,0.14290000000000003
ramsay bolton,1.288,1.924,6.788,-0.2571999999999999
theon greyjoy,1.036,4.999,5.965,-2.5995
guard,0.0,1.011,1.9889999999999999,-0.9978
ralf,0.591,1.465,5.944,-1.1343
everyone,0.0,1.0,0.0,-0.8481
petyr,2.831,3.165,15.003,-0.7876000000000001
lord royce,1.555,2.665,10.780000000000001,-1.2676
lady anya,1.029,4.249,7.721,-3.2514000000000003
sansa stark,1.3479999999999999,1.096,5.556,2.227
ser vance,0.592,0.0,0.408,0.4404
boy,0.0,0.0,1.0,0.0
ser barristan,1.315,0.0,1.685,0.344
ser jorah,2.2199999999999998,3.3810000000000002,10.399000000000001,-1.0155999999999996
lord bolton,0.0,0.0,1.0,0.0
roose,0.0,0.0,2.0,0.0
sandor clegane,1.789,2.669,5.542000000000001,-0.6053
arya stark,1.767,2.0540000000000003,6.179,-0.6046000000000001
robin,0.367,0.231,1.4020000000000001,0.38880000000000003
tyrion lannister,2.174,5.4190000000000005,11.408,-5.555700000000001
jaime lannister,2.07,1.8110000000000002,7.119,-0.23670000000000002
together,0.0,0.0,1.0,0.0
oberyn martell,0.355,8.212,3.4329999999999994,-8.0451
ellaria,0.0,2.0,1.0,-0.43339999999999995
pycell,0.58,0.067,0.353,0.9432
mountain,0.0,1.645,0.355,-1.5265
tywin lannister,0.0,0.385,0.615,-0.6124
