,Positive,Negative,Neutral,Compound
yoren,0.6180000000000001,1.052,4.33,-1.1093000000000002
arya stark,1.0,0.725,2.275,-0.5319
bran stark,0.154,0.7849999999999999,5.061,-1.3093
osha,1.0,0.0,3.0,0.6369
rickon stark,0.0,0.0,4.0,0.0
maester luwin,0.0,0.0,1.0,0.0
several stark bannermen,0.0,0.0,1.0,0.0
catelyn stark,0.0,4.52,4.48,-2.7579000000000002
robb stark,0.0,1.0,2.0,-0.886
joffrey lannister,4.438000000000001,1.6,10.962,1.1086999999999998
marillion,4.728,0.24,2.032,2.7485999999999997
sansa stark,1.451,1.0,1.549,0.306
sandor clegane,0.427,0.44,2.133,-0.0258
jonos bracken,0.0,0.494,2.5060000000000002,-0.5994
galbart glover,0.0,0.0,1.0,0.0
greatjon umber,0.0,0.243,1.7570000000000001,-0.8126
rickard karstark,0.333,0.0,0.667,0.5423
theon greyjoy,0.0,0.429,1.571,-0.4588
all,0.0,0.0,1.0,0.0
stark guard,0.0,0.0,1.0,0.0
jaime lannister,1.0759999999999998,1.965,3.958,-1.6480000000000001
lancel lannister,0.288,0.351,0.36,-0.1779
cersei lannister,0.0,0.0,1.0,0.0
tywin lannister,0.345,1.181,3.474,-1.3939
tyrion lannister,1.224,1.305,4.47,0.9778000000000001
leo lefford,0.0,0.529,1.471,-0.6705
addam marbrand,0.583,0.0,1.417,0.4215
kevan lannister,0.235,0.295,1.47,-0.2263
daenerys targaryen,1.532,3.7349999999999994,15.733,-1.276
jorah mormont,2.29,0.358,9.352,1.4496000000000002
mirri maz duur,0.643,1.937,6.42,-1.3489
sam tarly,0.0,1.0,3.0,-0.0516
jon snow,1.756,2.818,5.426,-0.7088999999999999
shae,2.285,1.012,2.703,0.5034
sam pyp and grenn,0.186,0.116,1.698,0.296
grenn,0.333,3.0309999999999997,1.636,-1.6152
pyp,0.483,1.609,1.908,-1.0587
grand maester pycelle,0.731,0.256,2.013,0.7974
ros,0.0,0.0,2.0,0.0
varys,2.273,0.481,7.246,1.7631999999999999
petyr baelish,2.8419999999999996,1.203,5.955,0.9470999999999999
hot pie,0.0,0.381,5.619,-0.6486
lommy greenhands,0.0,0.438,2.5620000000000003,-0.5994
gendry baratheon,0.283,1.321,1.397,-1.7695000000000003
jeor mormont,1.353,1.195,3.4499999999999997,-1.9785
rakharo,0.0,0.0,1.0,0.0
