,Positive,Negative,Neutral,Compound
melara,0.0,0.0,2.0,0.0
cersei lannister,2.608,4.609,14.783,-3.964
maggy,1.256,0.0,6.744,1.0933000000000002
priest,0.938,0.246,1.816,1.0074
jaime lannister,0.0,0.556,1.444,-0.8176
varys,4.567,4.828999999999999,11.604000000000001,-0.3291000000000001
tyrion lannister,1.521,4.498,11.981,-2.6055
prostitute,0.0,0.0,1.0,0.0
white rat,0.0,0.0,0.0,0.0
daenerys targaryen,3.168,4.794,11.036000000000001,-1.9912000000000003
barristan,1.077,0.0,1.923,0.8619
mossador,0.737,1.0,0.263,-0.08910000000000007
grey worm,0.583,0.0,1.417,0.4215
missandei,0.0,0.0,3.0,0.0
jon snow,6.297999999999999,2.072,15.631000000000002,3.7114999999999996
olly,0.0,0.0,1.0,0.0
gilly,0.0,1.545,3.455,-0.492
sam,0.0,0.755,4.245,-1.1109
alliser,0.376,0.388,1.2349999999999999,-0.0258
melisandre,0.7829999999999999,1.074,5.143000000000001,-0.7891
stannis baratheon,3.118,0.8119999999999999,8.07,1.6461999999999999
davos,1.863,0.0,2.137,1.721
master of arms,0.0,0.608,1.392,-0.7351
yohn royce,0.0,0.0,1.0,0.0
petyr baelish,1.8519999999999999,1.26,4.888,0.957
royce,0.846,0.565,2.589,0.07109999999999994
squire,0.0,0.0,1.0,0.0
sansa stark,1.219,1.0,3.781,0.3843000000000001
podrick,0.0,0.0,5.0,0.0
brienne,1.256,0.434,4.3100000000000005,0.5409999999999999
loras,2.481,1.0070000000000001,7.5120000000000005,-0.32409999999999994
grand maester pyrcelle,0.383,0.422,0.195,-0.1531
lancel lannister,1.0,0.0,0.0,0.4215
lancel,1.744,0.667,3.5890000000000004,0.97
kevan lannister,0.412,0.0,0.588,0.1027
kevan,0.248,0.276,0.476,-0.0772
olyvar,0.792,0.0,4.208,0.5859
margaery tyrell,1.0,0.0,6.0,0.4215
daario naharis,0.341,0.0,0.659,0.4767
hizdahr zo loraq,0.474,0.0,0.526,0.8658
hizdahr,1.9509999999999998,1.744,3.3049999999999997,0.7791000000000001
daario,0.499,2.1350000000000002,4.366,-2.942
mance,1.9549999999999998,4.525,4.52,-2.5613
