,Positive,Negative,Neutral,Compound
arya stark,2.888,5.708,8.403,-4.1606
waif,0.835,1.396,3.768,-0.9933000000000001
jaqen hghar,2.734,0.554,1.712,1.4684
tyrion lannister,3.3009999999999997,3.323,18.375000000000004,1.1966000000000003
jorah mormont,0.486,2.362,14.152,-1.2298
man,0.0,0.341,1.659,-0.4767
girl,0.0,1.0,0.0,-0.4767
malko,1.623,3.7030000000000003,5.674,-2.016
sam tarly,0.0,0.0,0.0,0.0
slaver,0.0,0.444,2.556,-0.1531
lancel,0.346,0.429,3.2249999999999996,-0.056900000000000006
petyr baelish,4.78,4.434,14.786,-0.4807999999999997
cersei lannister,6.449,6.481,14.067000000000002,-0.4393999999999998
trystane,0.0,0.6,5.4,-0.4588
myrcella,0.0,1.0,5.0,-0.5267
doran,0.9339999999999999,0.452,0.613,0.8718000000000001
areo,0.0,3.0,2.0,-1.6066
bronn,1.529,3.261,5.210000000000001,-0.0895999999999999
jaime lannister,2.787,0.0,7.213,1.2986
ellaria,0.0,0.0,1.0,0.0
sand snakes,0.0,0.0,1.0,0.0
obara,0.0,0.464,2.536,-0.6369
rider,0.0,0.0,1.0,0.0
olenna tyrell,2.1870000000000003,3.2,9.613,-2.0668999999999995
margaery tyrell,0.0,2.0,6.0,-0.47309999999999997
sparrow,3.0189999999999997,2.6710000000000003,13.309999999999999,-0.34059999999999996
loras,1.592,3.874,1.533,-1.6005000000000003
olyvar,1.599,0.0,4.401,1.4516
sansa stark,1.763,0.382,5.855,0.7812
myranda,1.947,1.1500000000000001,3.902,2.2864
theon greyjoy,0.419,1.0,3.581,0.23120000000000007
roose,0.0,0.0,2.0,0.0
ramsay bolton,1.597,2.6959999999999997,5.707000000000001,-1.3948999999999998
end,0.0,0.0,1.0,0.0
