,Positive,Negative,Neutral,Compound
tyrion lannister,2.2190000000000003,1.952,8.829,1.3761
podrick,0.0,0.0,3.0,0.0
pycelle,1.066,2.634,1.299,-0.39169999999999994
joffrey lannister,1.963,0.385,6.652,2.5045
tywin lannister,1.0,0.0,0.0,0.4215
petyr baelish,1.882,1.288,1.8290000000000002,1.1772
loras,0.545,0.0,0.455,0.8126
margaery tyrell,0.66,0.0,0.34,0.9274
cersei lannister,0.233,0.174,0.593,0.3612
crowd,0.0,0.0,1.0,0.0
sansa stark,0.0,0.0,2.0,0.0
ros,2.3409999999999997,0.0,4.659000000000001,1.4231
varys,3.079,3.0949999999999998,7.827,0.0041999999999999815
jaime lannister,2.813,3.2430000000000003,8.944,0.5977999999999999
brienne,1.2069999999999999,2.768,11.024999999999999,-1.3058
man,2.0,4.781,11.219000000000001,-1.8055
catelyn stark,1.873,0.508,1.619,1.8586999999999998
robb stark,1.0,1.544,3.456,-0.8133999999999999
stannis baratheon,2.793,2.84,3.367,-0.7203999999999997
melisandre,0.344,3.072,3.584,-2.6528
theon greyjoy,4.119,6.03,11.850999999999999,-3.4027000000000003
luwin,6.123000000000001,1.531,10.347000000000001,3.4451
men,0.0,1.0,1.0,-0.8481
black lorren,0.0,0.0,2.0,0.0
dagmer,0.0,0.706,0.294,-0.34
shae,1.5350000000000001,4.062,3.403,-1.7266
septon,0.0,0.0,1.0,0.0
talisa,0.0,0.0,2.0,0.0
kovarro,0.0,0.0,2.0,0.0
jorah mormont,0.75,0.54,3.71,-0.23199999999999998
daenerys targaryen,0.0,1.027,7.973,-1.089
hot pie,0.0,0.0,0.0,0.0
arya stark,0.0,0.859,5.141,-0.7269
jaqen hghar,0.22,0.589,11.191,-0.06269999999999998
bran stark,0.0,1.0,3.0,-0.0516
rickon,0.0,0.0,0.0,0.0
osha,0.677,0.437,0.8859999999999999,0.1602
drogo,1.012,1.097,2.891,-0.46629999999999994
pyatt pree,0.0,0.0,1.0,0.0
pyat pree,1.744,0.0,6.256,0.8808
ygritte,0.32,0.6,3.08,-0.15989999999999993
jon snow,0.432,0.568,1.0,-0.128
rattleshirt,0.0,0.722,2.278,-0.3818
qhorin,0.0,1.811,3.189,-1.206
wildling,0.0,0.0,1.0,0.0
xaro,0.524,0.0,3.476,0.0258
doreah,0.448,0.207,2.3449999999999998,0.34
grenn,0.0,2.02,3.98,-1.5655
dolorous edd,0.2,0.379,1.421,-0.4019
sam,0.592,0.0,6.4079999999999995,0.4404
