,Positive,Negative,Neutral,Compound
daenerys targaryen,10.062000000000003,6.9719999999999995,21.966,2.7855
jaime lannister,5.7909999999999995,7.0169999999999995,20.193,-1.3689999999999996
tyrion lannister,6.021999999999999,10.323999999999998,23.654,-4.6428
sansa stark,3.5229999999999997,4.109,7.367,-0.59
bran stark,1.0,2.474,7.526,-1.2385000000000002
brienne,6.2909999999999995,2.9759999999999995,11.733,1.7962
jon snow,5.098,2.661,13.241,0.5224
gendry baratheon,3.1950000000000003,2.9690000000000003,5.835,-0.9242999999999999
arya stark,2.0,8.246000000000002,11.754000000000001,-4.4805
both,0.0,0.0,1.0,0.0
jorah mormont,1.966,1.528,9.506,-0.029700000000000004
royce,0.0,0.0,1.0,0.0
wolkan,0.583,0.0,0.417,0.4215
theon greyjoy,0.0,0.464,3.536,-0.3818
man,0.0,0.0,2.0,0.0
davos,1.1480000000000001,2.0700000000000003,5.782,-1.9097
gilly,1.072,0.0,1.928,0.7837
woman,0.0,0.0,0.0,0.0
teela,0.0,0.565,2.435,-0.3818
tormund,0.32,5.118,10.562,-3.1982
edd,0.352,1.0,4.648,-0.07379999999999998
beric,0.0,0.556,2.444,-0.3612
sam tarly,3.313,1.872,5.8149999999999995,1.0941999999999998
missandei,0.853,0.0,1.147,0.7003
grey worm,1.001,0.612,0.386,-0.16549999999999998
podrick,0.348,3.093,2.558,-0.6585000000000001
sandor,0.154,1.969,2.876,-1.3188
lyanna,0.0,1.317,2.683,-1.3090000000000002
lyann,0.0,0.0,0.0,0.0
