,Positive,Negative,Neutral,Compound
tyrion lannister,7.865,14.073,33.06100000000001,-9.1327
jon snow,5.737000000000001,12.005,18.258999999999997,-7.3649
davos,1.8450000000000002,1.8379999999999999,10.317,-1.3865999999999998
missandei,0.25,0.22,3.5300000000000002,0.1027
varys,1.008,2.233,6.76,-1.5986
melisandre,0.0,1.766,5.234,-1.5566
daenerys targaryen,6.358,6.181,27.459,-2.0536
captain,0.0,0.811,0.189,-0.6486
theon greyjoy,1.0,0.0,1.0,0.4939
euron greyjoy,5.574000000000001,1.7249999999999999,3.702,4.2233
cersei lannister,9.129,8.102,16.771,0.3872000000000002
jaime lannister,2.083,0.763,8.154,1.2711999999999999
tyene,0.0,0.0,1.0,0.0
qyburn,1.0,0.333,1.667,0.060299999999999965
messenger,1.62,0.0,0.38,1.0209000000000001
tycho,2.5340000000000003,1.444,6.023000000000001,1.0934
sansa stark,0.517,0.633,11.851,-0.7648999999999999
wolkan,0.0,0.0,3.0,0.0
yohn,1.4529999999999998,0.0,3.5469999999999997,0.7948999999999999
petyr baelish,0.447,1.564,2.989,-2.1571
guard,0.0,0.0,1.0,0.0
bran stark,0.77,1.368,6.8629999999999995,0.4408
marwyn,3.654,1.359,8.987,1.3035999999999999
jorah mormont,0.491,1.55,4.959,-1.2414
sam tarly,1.737,0.0,4.263,0.8619
man,0.0,0.697,0.303,-0.3182
unsullied,0.0,0.0,1.0,0.0
grey worm,0.0,0.0,2.0,0.0
olenna tyrell,2.411,3.979,6.612,-1.4098000000000002
end,1.0,0.0,0.0,0.3612
