,Positive,Negative,Neutral,Compound
theon greyjoy,1.733,2.738,10.529000000000002,-1.2938
black lorren,0.0,0.0,2.0,0.0
man,1.2970000000000002,3.2359999999999998,12.466999999999999,-1.2261
dagmer,0.0,0.0,3.0,0.0
luwin,0.694,0.544,4.762,-0.0837
osha,1.558,0.0,5.442,1.0957
bran stark,0.0,1.427,3.573,-0.9916
rickon,1.0,0.0,1.0,0.2023
hodor,0.0,0.0,1.0,0.0
rikon,0.0,0.0,1.0,0.0
ygritte,3.7800000000000002,4.678,23.542,-2.7090000000000005
jon snow,0.0,1.536,14.464,-1.5840999999999998
tywin lannister,3.905,4.918,20.176999999999996,-2.4730000000000008
mountian,0.0,0.0,1.0,0.0
mountain,0.196,0.594,1.21,-0.7717
arya stark,0.0,1.0,13.0,-0.3182
sansa stark,4.335,2.4,4.265,2.3527
sandor clegane,1.592,2.003,1.405,-0.4457
xaro,0.134,1.789,7.077,-1.662
daenerys targaryen,3.944,3.5649999999999995,11.492,-1.2269
robb stark,0.782,0.395,9.823,0.6324
alton,1.583,4.72,12.697000000000001,-2.1803
rickard karstark,1.008,2.634,6.358,-2.0019
roose,0.0,1.0,0.0,-0.5106
talisa,0.814,2.36,6.8260000000000005,-0.8075
woman,0.0,0.0,1.0,0.0
child,0.0,0.0,1.0,0.0
winterfell shepherd,0.0,0.545,1.455,-0.0516
jorah mormont,2.135,0.0,6.865,1.2605
shae,0.0,0.0,2.0,0.0
handmaiden,1.0,0.0,0.0,0.4215
cersei lannister,4.240000000000001,2.507,12.254000000000001,1.3372000000000002
jaime lannister,2.5709999999999997,5.448,19.98,-4.2197000000000005
guard,0.0,0.0,2.0,0.0
quaith,1.275,2.728,2.997,-1.3392
spice king,0.583,1.3599999999999999,1.057,-0.569
silk king,0.0,0.773,0.227,-0.5267
pyat pree,0.779,0.317,2.9050000000000002,0.4838
pyatt pree,0.0,0.0,1.0,0.0
pyattpree,0.0,0.0,1.0,0.0
jacks,0.512,0.0,3.488,0.2732
brienne,0.0,1.337,2.6630000000000003,-1.545
catelyn stark,2.598,3.8840000000000003,8.518,-0.6601000000000001
rickard,0.0,0.692,0.308,-0.6705
tyrion lannister,0.0,3.088,8.911999999999999,-2.7293000000000003
