,Positive,Negative,Neutral,Compound
grey worm,1.546,1.98,7.474,-0.1291
missandei,1.412,0.825,3.763,0.1522
daenerys targaryen,0.42,0.457,3.123,-0.0772
mossador,0.613,0.292,2.0940000000000003,0.5267
elder meereen slave,0.458,0.797,1.745,-0.27909999999999996
meereen slave,0.0,0.744,1.256,-0.4404
slaves,0.0,0.0,3.0,0.0
jorah mormont,0.0,0.0,1.0,0.0
barristan selmy,0.379,0.264,0.357,0.1531
jaime lannister,5.319999999999999,6.134,19.544999999999998,-4.446
bronn,2.048,2.236,3.716,0.03080000000000005
tyrion lannister,0.0,3.319,6.681000000000001,-3.6197000000000004
sansa stark,2.2199999999999998,2.2489999999999997,1.532,-0.4987999999999998
petyr baelish,1.738,3.603,3.659,-1.0485000000000002
margaery tyrell,3.268,1.0,10.732,1.5119000000000002
olenna tyrell,0.23199999999999998,1.7710000000000001,5.998,-2.4737999999999998
jon snow,3.869,2.8790000000000004,16.252000000000002,0.11989999999999978
olly,0.0,1.0,0.0,-0.3818
grenn,0.0,0.0,1.0,0.0
locke,0.246,2.979,3.775,-2.2675
alliser thorne,0.766,0.831,3.403,-0.331
alliser thorn,0.0,0.432,0.568,-0.5859
janos slynt,0.186,0.0,1.814,0.4939
cersei lannister,2.415,1.8719999999999999,4.713,-0.14259999999999995
tommen lannister,0.224,0.259,7.517,-0.1027
brienne,1.089,0.207,5.704,-0.16050000000000003
podrick,0.365,0.0,0.635,0.3182
sam,1.266,0.0,5.734,0.8423
woman,0.0,0.73,0.27,-0.4019
tanner,2.157,6.534000000000001,11.309999999999999,-3.9486000000000003
rast,0.0,3.5380000000000003,2.4619999999999997,-2.5404
women,1.488,0.0,0.512,1.7738999999999998
sissy,0.0,0.825,2.175,-0.6908
hodor,0.0,0.0,2.0,0.0
bran stark,0.0,1.275,5.725,-1.009
meera,0.592,0.0,8.408000000000001,0.4404
jojen,0.0,0.0,2.0,0.0
