,Positive,Negative,Neutral,Compound
tyrion lannister,3.3549999999999995,2.01,12.633999999999999,2.0319
varys,3.6910000000000003,1.729,8.579,1.5687
daenerys targaryen,7.003000000000001,5.051,22.946,0.5209000000000001
grey worm,0.5549999999999999,2.416,5.029000000000001,-1.5354999999999999
melisandre,1.5130000000000001,0.532,4.955,0.6120000000000001
missandei,0.381,1.375,2.2439999999999998,0.2775000000000001
sansa stark,0.177,2.7279999999999998,5.095,-2.5201000000000002
jon snow,1.646,1.838,11.515999999999998,-0.7036000000000001
davos,0.515,2.235,1.25,-0.9859
cersei lannister,0.604,1.5699999999999998,2.8249999999999997,-1.8673
randyll,0.534,0.751,5.715,-0.6235
qyburn,2.665,1.0699999999999998,2.266,0.9000000000000001
jaime lannister,0.216,2.503,6.281,-3.2380000000000004
dickon,0.0,0.0,2.0,0.0
marwyn,1.635,3.347,12.017000000000001,-1.4404
jorah mormont,0.0,1.0,1.0,-0.6486
sam tarly,0.486,2.085,12.429,-1.5486
yara greyjoy,0.592,0.938,9.47,-0.35309999999999997
ellaria,1.498,2.527,7.975,-1.6559
olenna tyrell,2.464,0.377,2.1590000000000003,2.9379000000000004
ellia,0.737,0.0,1.263,0.4215
man,0.318,0.75,3.932,-0.29690000000000005
hot pie,1.438,1.4240000000000002,11.138,-0.34279999999999994
arya stark,0.33,1.464,12.206,-0.8449
wolkan,0.0,0.0,1.0,0.0
yohn royce,0.556,0.155,0.29,0.8074
robett glover,0.0,0.277,0.723,-0.3182
lyanna mormont,0.412,0.0,0.588,0.4215
petyr baelish,1.19,0.574,2.235,1.3623
nymeria,1.283,0.54,0.177,-0.12220000000000003
obara,0.0,0.0,2.0,0.0
tyene,0.247,1.084,1.669,-0.9035
theon greyjoy,1.0,0.0,1.0,0.2023
euron greyjoy,0.737,0.0,2.263,0.4215
end,1.0,0.0,0.0,0.3612
