,Positive,Negative,Neutral,Compound
varys,3.0740000000000007,2.129,4.797000000000001,1.053
eddard stark,2.04,0.602,6.359,1.2719
robb stark,5.938,2.711,8.350999999999999,1.6243000000000007
theon greyjoy,0.0,0.63,4.37,-0.7783
catelyn stark,3.187,1.693,17.12,-0.3806000000000002
greatjon umber,2.8,0.0,3.2,1.5821
everyone,0.0,0.0,0.0,0.0
walder frey,1.551,2.54,6.909000000000001,-1.4462
stevron frey,0.0,0.388,0.612,-0.2263
ryger rivers,0.0,0.0,1.0,0.0
voices outside,1.0,0.0,0.0,0.34
jeor mormont,1.415,1.162,3.422,0.6449999999999998
jon snow,2.08,0.538,7.382,0.08010000000000006
unidentified nights watchers,0.0,0.0,0.0,0.0
nights watcher,0.0,0.0,1.0,0.0
pyp,0.0,0.0,1.0,0.0
grenn,0.0,1.0,2.0,-0.4019
all,0.0,0.0,1.0,0.0
sam tarly,0.269,0.361,2.37,-0.25
maester aemon,1.8509999999999998,1.613,4.536,1.2190999999999996
daenerys targaryen,4.461,6.7219999999999995,12.816999999999998,-0.7121
khal drogo,0.0,0.0,2.0,0.0
cohollo,0.0,0.0,1.0,0.0
qotho,0.169,3.822,6.009,-2.5228
kevan lannister,0.0,1.0,2.0,-0.1027
tywin lannister,1.058,2.575,4.367,-2.4329
tyrion lannister,11.671,11.247000000000002,28.083,-1.6380999999999992
bronn,4.5920000000000005,5.05,14.358000000000002,-1.4483000000000001
prostitute,0.0,0.0,1.0,0.0
shae,3.9979999999999998,4.548,11.454,-0.9442999999999999
jorah mormont,0.468,1.841,8.690999999999999,-0.278
mirri maz duur,1.8230000000000002,1.9629999999999999,4.215,-1.5451000000000001
rakharo,0.0,1.916,2.084,-1.5847
irri,0.0,0.0,1.0,0.0
lannister soldier,0.0,0.0,1.0,0.0
tribesmen of vale,0.0,0.0,0.0,0.0
rodrik cassel,0.0,0.0,2.0,0.0
stark bannermen,0.0,0.0,1.0,0.0
jaime lannister,0.127,1.5379999999999998,1.335,-1.468
arya stark,0.583,0.0,3.417,0.4215
kings landing baker,0.0,2.0,1.0,-0.8038
street urchin,0.762,0.0,1.238,0.4939
populace,0.0,0.75,1.25,-0.4588
eddark stark,0.354,0.216,1.429,0.7506
grand maester pycelle,0.275,0.32,0.405,-0.25
joffrey lannister,0.128,0.091,0.781,0.0516
sansa stark,0.0,0.0,0.0,0.0
cersei lannister,0.0,0.744,0.256,-0.4404
yoren,0.0,0.0,1.0,0.0
