,Positive,Negative,Neutral,Compound
davos,2.732,1.758,12.509,0.31409999999999993
stannis baratheon,1.026,0.629,5.345,-0.6369
tycho,1.127,1.536,13.337000000000002,0.3388
sallador,2.666,1.211,4.123,0.7584
women,0.0,0.0,1.0,0.0
lhara,0.0,0.0,1.0,0.0
yara greyjoy,0.5589999999999999,2.9749999999999996,9.467,-1.7037
myranda,0.0,0.0,0.0,0.0
first mate,0.0,0.0,1.0,0.0
bolton guard,0.0,0.0,2.0,0.0
theon greyjoy,1.467,5.444,1.089,-2.4578
ramsay bolton,3.171,2.868,4.961,0.11590000000000023
ironborn,0.0,0.0,1.0,0.0
daenerys targaryen,3.221,0.865,9.913,2.6209000000000002
missandei,1.22,0.263,3.517,0.9789
manservant,0.333,0.0,0.667,0.4588
hizdahr,3.399,1.07,5.532000000000001,2.9102999999999994
oberyn martell,1.596,2.692,9.710999999999999,-0.2926000000000001
mace,1.637,0.531,3.832,0.7684000000000002
tywin lannister,4.3740000000000006,10.934999999999999,26.692000000000004,-7.0785
varys,3.832,2.098,15.07,1.8588
cersei lannister,2.3,2.136,3.563,0.7414
pycelle,0.0,1.349,6.651,-2.0877
tyrion lannister,2.282,6.534,10.183000000000002,-5.4901
jaime lannister,2.516,4.4719999999999995,9.011,-2.4520000000000004
man,0.0,0.0,1.0,0.0
tommen lannister,0.083,0.218,0.699,-0.6369
meryn trant,0.139,0.416,0.445,-0.9423
pyelle,0.214,0.357,0.429,-0.25
guard,0.0,0.0,1.0,0.0
shae,0.725,5.678,6.5969999999999995,-4.277699999999999
