,Positive,Negative,Neutral,Compound
attendant,1.583,0.0,0.417,0.843
mistress,0.0,0.0,1.0,0.0
pycelle,0.0,0.412,1.588,-0.4215
girl,0.75,0.0,0.25,0.4588
sparrow,2.159,1.456,8.383,1.3146000000000002
loras,1.082,0.933,2.985,-0.35080000000000006
mace,0.0,0.0,0.0,0.0
margaery tyrell,0.737,2.442,4.821,-0.9244
tommen lannister,1.0,0.0,1.0,0.3612
lancel,0.0,0.756,1.244,-0.4767
qyburn,1.718,0.9139999999999999,4.368,-0.18370000000000003
cersei lannister,0.645,3.039,6.316000000000001,-2.5654
septa unella,0.733,0.0,0.267,0.6705
walder,2.6649999999999996,4.197,7.137999999999999,-3.8215
men,0.0,0.0,2.0,0.0
bronn,0.419,2.45,4.131,-1.1385
jaime lannister,0.273,1.2850000000000001,5.442,-0.9554
sam,0.0,1.0,4.0,-0.5574
maester,0.0,0.0,5.0,0.0
jon snow,4.727,2.227,5.046,0.2139000000000001
melisandre,0.5650000000000001,2.2889999999999997,6.146,-1.9917
davos,1.142,3.347,3.5109999999999997,-2.9335
sansa stark,1.086,2.332,5.581999999999999,-0.6331
olenna tyrell,1.06,1.653,5.287000000000001,-1.3869000000000002
ellaria,1.017,1.414,1.5690000000000002,-0.9712999999999998
obara,0.0,0.0,2.0,0.0
nymeria,0.412,0.0,0.588,0.2732
varys,0.0,0.0,1.0,0.0
daario,3.1250000000000004,3.1599999999999997,8.713,0.20690000000000003
daenerys targaryen,2.4000000000000004,3.037,9.563,1.3201999999999996
tyrion lannister,1.4929999999999999,2.29,3.216,-0.8186999999999999
handmaiden,0.492,0.0,4.508,0.4404
arya stark,0.303,0.394,0.303,-0.2263
petyr,0.654,0.487,3.859,-0.40459999999999996
benjen,0.246,2.061,1.693,-1.1055
meera,1.0,0.0,1.0,0.3612
bran stark,0.556,0.0,1.444,0.3612
lyanna,3.4509999999999996,2.2209999999999996,4.329000000000001,0.05609999999999993
eddard stark,1.0,2.0,4.0,-0.6454
vale knight,0.0,0.0,1.0,0.0
tormund,0.0,0.0,1.0,0.0
man,0.0,0.467,0.533,-0.7906
manderly,0.074,0.224,0.702,-0.6705
glover,0.253,0.7490000000000001,1.998,-1.0827
all,0.0,0.0,2.0,0.0
