,Positive,Negative,Neutral,Compound
mance,2.241,3.6229999999999998,15.136,-2.6977
jon snow,2.6130000000000004,6.873000000000001,15.514000000000001,-3.9829000000000008
stannis baratheon,0.778,0.0,4.2219999999999995,0.5423
davos,0.9949999999999999,0.0,2.005,1.1023
pycelle,1.682,1.437,2.881,-0.5619
cersei lannister,5.634,3.738,12.628,-0.1674
qyburn,1.861,0.269,2.8699999999999997,1.2336
tywin lannister,3.7409999999999997,3.388,7.871,-1.0976000000000001
jaime lannister,2.0,0.837,12.163,-0.024900000000000033
missandei,0.737,0.0,4.263,0.4215
fennesz,3.748,0.762,3.489,3.1937
daenerys targaryen,2.7640000000000002,0.623,5.614000000000001,1.7713999999999999
barristan,0.333,0.0,0.667,0.25
man,0.0,0.608,1.392,-0.4767
grey worm,0.0,0.0,1.0,0.0
aemon,0.0,0.184,1.8159999999999998,-0.5574
all together,0.0,0.0,1.0,0.0
tormund,1.29,3.103,4.607,-1.9026
meera,0.0,0.0,4.0,0.0
jojen,0.762,0.0,1.238,0.4939
bran stark,0.0,1.0,3.0,-0.5994
hodor,0.0,0.0,1.0,0.0
girl,0.0,1.516,2.484,-1.229
old man,0.0,1.0,3.0,-0.7096
brienne,2.39,2.367,21.243000000000002,-0.46910000000000013
podrick,0.0,1.0,4.0,-0.5106
arya stark,0.762,5.109,15.129000000000001,-2.5976
sandor clegane,0.844,3.452,7.704000000000001,-4.434
tyrion lannister,3.0,3.265,6.734999999999999,-1.8581999999999996
woman,0.0,0.0,1.0,0.0
varys,0.867,0.0,0.133,0.7579
captain,0.0,0.565,4.4350000000000005,-0.5994
