Release Date,Season,Episode,Episode Title,Name,Sentence
2014-04-20,Season 4,Episode 3,Breaker of Chains,oberyn martell,Some believe the sky is blue because we live inside the eye of a blue-eyed giant. The king was poisoned.
2014-04-20,Season 4,Episode 3,Breaker of Chains,oberyn martell,I did. This is why I know.
2014-04-20,Season 4,Episode 3,Breaker of Chains,oberyn martell,Rather suspicious. Why haven't you thrown me in a dungeon?
2014-04-20,Season 4,Episode 3,Breaker of Chains,oberyn martell,You think we conspired together?
2014-04-20,Season 4,Episode 3,Breaker of Chains,oberyn martell,The death of my sister.
2014-04-20,Season 4,Episode 3,Breaker of Chains,oberyn martell,She was raped and murdered by the Mountain. The Mountain follows your orders. Of course I blame you.
2014-04-20,Season 4,Episode 3,Breaker of Chains,oberyn martell,"You are unarmed and unguarded because you know me better than that. I am a man of reason. If I cut your throat today, I will be drawn and quartered tomorrow."
2014-04-20,Season 4,Episode 3,Breaker of Chains,oberyn martell,So you deny involvement in Elia's murder?
2014-04-20,Season 4,Episode 3,Breaker of Chains,oberyn martell,I would like to speak with the Mountain.
2014-04-20,Season 4,Episode 3,Breaker of Chains,oberyn martell,He might not enjoy it as much as he thinks he would.
2014-04-20,Season 4,Episode 3,Breaker of Chains,oberyn martell,But you want something in return.
2014-04-20,Season 4,Episode 3,Breaker of Chains,oberyn martell,Why?
2014-04-20,Season 4,Episode 3,Breaker of Chains,oberyn martell,"Well, you made the Tyrell girl a queen. Asking me to judge at your son's trial isn't quite as tempting."
2014-04-20,Season 4,Episode 3,Breaker of Chains,oberyn martell,"I never realized you had such respect for Dorne, Lord Tywin."
2014-04-20,Season 4,Episode 3,Breaker of Chains,oberyn martell,You're saying you need us? That must be hard for you to admit.
2014-05-04,Season 4,Episode 5,First of His Name,oberyn martell,Your Grace.
2014-05-04,Season 4,Episode 5,First of His Name,oberyn martell,"A poem, actually."
2014-05-04,Season 4,Episode 5,First of His Name,oberyn martell,I couldn't very well refuse a royal escort.
2014-05-04,Season 4,Episode 5,First of His Name,oberyn martell,Not a very good one.
2014-05-04,Season 4,Episode 5,First of His Name,oberyn martell,For one of my daughters.
2014-05-04,Season 4,Episode 5,First of His Name,oberyn martell,Eight.
2014-05-04,Season 4,Episode 5,First of His Name,oberyn martell,The fifth is difficult. I named her after my sister Elia.
2014-05-04,Season 4,Episode 5,First of His Name,oberyn martell,"Yes. But I can't say it without turning sad. And after I turn sad, I grow angry."
2014-05-04,Season 4,Episode 5,First of His Name,oberyn martell,Which joke is that?
2014-05-04,Season 4,Episode 5,First of His Name,oberyn martell,We can avenge them.
2014-05-04,Season 4,Episode 5,First of His Name,oberyn martell,You really believe Tyrion murdered your son?
2014-05-04,Season 4,Episode 5,First of His Name,oberyn martell,We will have a trial and we will learn the truth.
2014-05-04,Season 4,Episode 5,First of His Name,oberyn martell,"The last time I saw her, she was swimming with two of my girls in the Water Gardens. Laughing in the sun."
2014-05-04,Season 4,Episode 5,First of His Name,oberyn martell,You have my word. We don't hurt little girls in Dorne.
2014-05-04,Season 4,Episode 5,First of His Name,oberyn martell,Anything at all.
2014-05-04,Season 4,Episode 5,First of His Name,oberyn martell,I will have it sailed down to Sunspear for her.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,"These meetings aren't always going to be this early, are they? I was up late last night. So, does this mean I am a master of something now? Coins, ships?"
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,Lord Varys is right. I have been to Essos and seen the Unsullied firsthand. They are very impressive on the battlefield. Less so in the bedroom.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,Lord Varys...
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,And yet everyone does.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,Five years.
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,oberyn martell,Tis a big and beautiful world. Most of us live and die in the same corner where we were born and never get to see any of it. I don't want to be most of us.
