,Positive,Negative,Neutral,Compound
cold,0.0,0.0,0.0,0.0
cersei lannister,3.93,2.907,8.163,1.7153000000000003
varys,2.57,4.418,6.0120000000000005,-0.4817999999999999
tyrion lannister,6.977,13.128000000000002,25.895000000000003,-5.437600000000001
daenerys targaryen,0.48,1.583,2.9370000000000003,-1.3587
jorah mormont,0.0,0.737,2.263,-0.4215
edd,0.658,1.061,4.28,0.02410000000000001
craster,0.598,0.215,0.187,0.6249
jon snow,0.274,2.428,8.299,-1.9374
matthos,2.596,1.1920000000000002,7.212,0.5418999999999999
stannis baratheon,2.6470000000000002,1.9220000000000002,8.431,0.21649999999999997
robb stark,0.412,0.697,1.891,0.22410000000000002
jaime lannister,0.0,0.0,1.0,0.0
theon greyjoy,1.639,5.042000000000001,29.318,-1.4668
catelyn stark,1.0,0.0,1.0,0.5574
joffrey lannister,0.0,1.162,0.8380000000000001,-1.1391
janos,2.91,3.2920000000000003,11.798000000000002,0.3226000000000001
blacksmith,0.0,0.0,1.0,0.0
end,0.0,0.0,1.0,0.0
title,0.0,0.0,1.0,0.0
jaqen hghar,2.291,0.0,2.7089999999999996,2.3520000000000003
arya stark,2.0,6.502000000000001,13.498,-3.3270000000000004
rorge,0.0,1.258,1.742,-1.308
gendry baratheon,2.6390000000000002,7.042999999999999,12.318,-5.2225
gold cloak,0.203,0.192,3.604,0.0516
yoren,0.276,0.626,3.098,-0.7999
shae,0.9279999999999999,0.0,2.072,0.9154
alton,1.592,0.408,0.0,0.5242
pycelle,0.0,0.0,2.0,0.0
petyr baelish,2.457,1.037,2.506,2.1866
grenn,0.0,0.796,3.2039999999999997,-0.5994
sam,1.464,4.3100000000000005,8.225999999999999,-1.6669
sam tarly,0.0,0.778,0.222,-0.7184
gilly,1.0,0.0,4.0,0.5267
irri,0.0,0.818,1.182,-0.6705
woman,1.327,1.428,5.245,-0.359
man,0.0,0.437,3.5629999999999997,-0.4767
roz,0.0,1.2,2.8,-1.1472
podrick,0.0,0.0,2.0,0.0
bronn,0.367,0.0,2.633,0.4404
lommy,0.0,1.3940000000000001,0.606,-1.0067
hot pie,0.0,3.448,5.552,-2.3497
yara greyjoy,0.847,0.608,8.545,0.2081
balon,1.055,2.9339999999999997,9.012,-2.3463000000000003
all three,0.0,1.0,0.0,-0.8481
davos,9.627,1.8550000000000002,9.517,5.9316
saan,4.758000000000001,3.466,5.776,0.9312000000000002
melisandre,1.947,1.925,4.128,-1.0652
