,Positive,Negative,Neutral,Compound
ygritte,1.3940000000000001,4.102,17.504,-1.8815999999999997
jon snow,2.344,4.705,19.951000000000004,-1.7385
orell,3.92,2.134,1.946,2.5753
brynden,0.749,0.546,1.7040000000000002,0.26280000000000003
robb stark,1.9300000000000002,1.8159999999999998,8.253,-0.1836000000000001
catelyn stark,0.0,0.8220000000000001,2.178,-0.5445
talisa,1.7650000000000001,4.336,6.899,-1.9952000000000003
edmure,0.737,0.0,0.263,0.4215
tormund,0.161,0.87,0.969,-0.24630000000000002
sansa stark,0.201,1.96,5.8389999999999995,-1.4398
margaery tyrell,2.194,2.3869999999999996,6.4190000000000005,0.7756999999999998
tyrion lannister,1.426,2.204,13.370000000000001,0.03499999999999992
bronn,1.016,1.932,3.052,-1.6150000000000002
tywin lannister,2.909,0.636,7.455,1.5064000000000002
joffrey lannister,1.912,0.0,9.088000000000001,1.4351
jorah mormont,0.478,0.091,2.4299999999999997,0.802
barristan,0.0,0.375,1.625,-0.4588
daenerys targaryen,3.0919999999999996,1.263,8.645000000000001,1.5692
missandei,1.234,0.159,1.6069999999999998,1.6825999999999999
radzal mo eraz,3.374,0.774,5.851,3.8667000000000002
shae,1.15,3.428,7.422,-2.1573
gendry baratheon,0.0,1.9180000000000001,6.082,-1.0814
melisandre,1.7469999999999999,0.522,4.731,1.0162
beric,0.636,1.0,4.364,0.6668000000000001
thoros,0.0,0.0,3.0,0.0
arya stark,1.26,2.375,4.366,-1.3013
anguy,0.474,0.0,1.526,0.4019
men,1.2469999999999999,0.0,0.753,0.8533999999999999
man,0.0,0.0,2.0,0.0
sandor clegane,0.0,0.0,1.0,0.0
brienne,0.38,0.207,5.413,0.2732
jaime lannister,5.699999999999999,3.826,21.474,1.7965999999999998
qyburn,3.474,3.763,8.764000000000001,0.005399999999999738
roose bolton,0.982,0.0,1.018,0.9321
locke,1.415,2.62,3.966,-0.31779999999999986
myranda,0.0,1.722,7.2780000000000005,-0.8585
violet,1.853,1.5,6.647,0.19590000000000007
theon greyjoy,1.0,0.0,0.0,0.7579
ramsay bolton,1.858,3.4730000000000003,0.669,0.09349999999999992
osha,0.34600000000000003,1.21,9.444999999999999,-1.9632999999999998
hodor,0.0,0.0,1.0,0.0
jojen,0.737,0.0,4.263,0.4215
bran stark,0.0,0.0,4.0,0.0
meera,0.0,1.0,0.0,-0.0516
steelshanks walton,0.702,0.173,4.125,0.7129000000000001
