,Positive,Negative,Neutral,Compound
northman,0.0,0.0,3.0,0.0
soldier,2.436,0.688,29.876,0.6493
man,1.0,0.0,0.0,0.4404
lyanna,0.722,0.0,6.2780000000000005,0.3818
edd,0.677,0.636,1.6869999999999998,-0.2691
melisandre,0.35,1.7400000000000002,6.91,-2.1849
grey worm,1.0,0.0,3.0,0.5267
davos,0.0,0.0,3.0,0.0
jon snow,0.0,0.0,3.0,0.0
daenerys targaryen,0.0,1.0,2.0,-0.6486
brienne,0.0,0.0,4.0,0.0
arya stark,0.0,0.0,4.0,0.0
sansa stark,1.224,1.722,1.054,0.2612
sam tarly,0.0,0.0,1.0,0.0
woman,0.0,1.0,1.0,-0.4404
tormund,0.0,0.0,1.0,0.0
jaime lannister,0.714,0.0,3.286,0.3612
sandor clegane,0.0,0.915,2.085,-0.9702
beric,0.0,0.0,3.0,0.0
varys,0.0,1.0,1.0,-0.2732
tyrion lannister,0.299,2.426,3.275,-1.6315
missandei,0.0,0.683,0.317,-0.6486
theon greyjoy,0.0,0.0,3.0,0.0
bran stark,0.0,0.0,2.0,0.0
jorah mormont,0.0,1.0,0.0,-0.5267
