,Positive,Negative,Neutral,Compound
man,0.0,0.636,0.364,-0.5423
locke,1.0,0.474,1.526,0.09200000000000003
brienne,0.0,0.0,1.0,0.0
jaime lannister,0.0,1.0,1.0,-0.5994
varys,3.0530000000000004,3.558,11.389000000000001,-1.4053000000000002
tyrion lannister,0.861,1.005,4.134,-0.5776
grenn,1.2839999999999998,0.882,2.8339999999999996,0.188
dolorous edd,0.0,2.545,2.455,-2.0058
rast,1.005,0.0,1.995,1.2445
gilly,0.333,0.354,5.312,-0.0516
sam,2.0,0.0,1.0,1.1988
jojen,0.0,0.0,0.0,0.0
bran stark,0.0,0.0,3.0,0.0
catelyn stark,2.5700000000000003,0.0,2.4299999999999997,1.7374
ros,0.268,1.5350000000000001,9.197,-0.12490000000000001
gendry baratheon,0.0,0.0,0.0,0.0
thoros,0.262,0.9430000000000001,1.7959999999999998,-1.3837
sandor clegane,1.94,5.535,8.525,-4.782499999999999
anguy,0.161,1.337,1.5030000000000001,-1.3904
beric,0.879,3.132,3.988,-2.5045
arya stark,0.205,0.282,1.513,-0.296
missandei,0.367,0.0,2.633,0.7003
daenerys targaryen,0.113,0.915,7.9719999999999995,-1.322
kraznys,0.0,2.584,3.416,-2.116
