,Positive,Negative,Neutral,Compound
dolorous edd,0.0,0.375,5.625,-0.0516
jon snow,3.64,4.532,18.828000000000003,-3.585
man,2.3209999999999997,1.102,8.577,0.5525
sansa stark,5.315,3.9149999999999996,8.77,-1.7772000000000001
davos,0.512,0.0,6.4879999999999995,0.2732
melisandre,0.714,0.851,2.435,-0.32959999999999995
brienne,0.648,0.7889999999999999,2.5629999999999997,-0.3236
petyr baelish,2.2689999999999997,0.83,8.901,1.9592999999999998
robin,1.0,0.0,5.0,0.2023
yohn royce,1.099,1.0,3.901,0.7783
grey worm,3.07,4.064,0.867,-1.4962000000000002
tyrion lannister,9.345,4.866,13.79,2.8904000000000005
missandei,2.396,1.5550000000000002,5.048,0.4203
yezzan,1.055,1.275,1.67,0.23320000000000002
razdal,0.344,0.268,2.388,-0.022799999999999987
belicho,0.0,0.231,0.769,-0.0516
daario,0.85,3.508,9.642,-2.5836
jorah mormont,1.369,4.578,6.053000000000001,-3.8733
dothraki,0.0,0.0,2.0,0.0
leader,1.287,0.6000000000000001,3.113,0.9627999999999999
lhazareen woman,0.737,3.1260000000000003,3.1369999999999996,-1.5691
daenerys targaryen,2.274,4.884,9.844000000000001,-3.0025000000000004
sparrow,0.481,1.11,4.407,0.015700000000000047
margaery tyrell,2.6050000000000004,0.848,7.547,1.2525
loras,2.868,0.565,0.567,1.4630000000000003
cersei lannister,2.952,3.4400000000000004,9.608,0.3016000000000001
maester pycelle,0.141,0.455,1.404,-0.7351
maester pycell,1.859,0.0,1.141,1.1484
tommen lannister,1.591,0.529,3.88,0.1104
maester,0.217,0.0,0.783,0.3612
kevan,0.614,0.755,2.63,-0.35079999999999995
kevin,0.0,0.0,1.0,0.0
lady olenna,1.345,1.066,1.589,-0.10209999999999997
jaime lannister,0.202,1.109,2.689,-1.3053
theon greyjoy,0.0,1.491,5.509,-1.2382
yara greyjoy,0.74,3.213,5.047,-2.8913
ramsay bolton,1.042,1.412,9.546,0.0752
osha,0.483,1.271,7.246,-0.8269000000000001
tormund,0.0,0.342,1.658,-0.3818
khal moro,0.8089999999999999,4.405,6.786,-4.0682
khal,1.135,1.583,5.282,-0.08539999999999992
