,Positive,Negative,Neutral,Compound
jaime lannister,0.998,8.751999999999999,27.25,-6.366
bronn,1.0619999999999998,4.718999999999999,11.219,-2.6283
tyrion lannister,6.760000000000001,5.354000000000001,29.886,-2.2239
daenerys targaryen,9.029,5.945,26.027000000000005,2.1068000000000002
randyll,0.263,1.1219999999999999,5.615,-1.1261
dickon,0.0,1.0,2.0,-0.6908
drogon,0.0,0.284,0.716,-0.8591
qyburn,0.0,0.167,3.833,-0.0516
cersei lannister,2.9289999999999994,8.328000000000001,15.745,-5.5535
jon snow,4.528,6.021,23.45,1.0152
guard,1.762,0.219,14.019,0.6174999999999999
jorah mormont,3.574,0.0,11.426,1.6663999999999999
bran stark,0.0,0.0,2.0,0.0
wolkan,0.027,0.047,5.926,-0.2263
archmaester,0.118,0.0,0.882,0.4939
maester,0.7070000000000001,2.265,6.028,-2.263
marwyn,0.661,0.6339999999999999,8.705,0.5947
sam,0.101,1.823,3.076,-0.766
sam tarly,1.1,1.826,12.073999999999998,-1.7825999999999995
varys,2.334,0.805,8.862,0.6717
davos,5.461,8.968,37.571,-1.708
robett,0.0,0.0,1.0,0.0
yohn,0.0,0.0,1.0,0.0
sansa stark,1.258,3.426,8.315999999999999,-1.2590000000000001
arya stark,2.319,1.4060000000000001,9.275,0.5230999999999999
gendry baratheon,6.891,5.813,20.296000000000003,-0.6832999999999998
gilly,0.286,0.0,6.714,0.4215
petyr baelish,0.0,0.0,3.0,0.0
tormund,0.282,1.633,12.086,-1.2214
sandor,0.0,0.467,1.533,-0.5423
beric,0.524,0.494,3.982,-0.5736
thoros,0.6,0.737,2.663,-0.6846
end,1.0,0.0,0.0,0.3612
