,Positive,Negative,Neutral,Compound
ramsay bolton,6.093000000000001,6.765999999999999,22.141,-2.5078
myranda,1.0,1.0,2.0,0.03510000000000002
theon greyjoy,0.375,0.0,5.625,0.2023
tansy,0.0,0.756,1.244,-0.4767
tyrion lannister,7.863999999999999,7.164999999999999,21.973,-0.5549000000000002
podrick,1.615,0.0,1.385,0.5549999999999999
jaime lannister,3.3779999999999997,3.839,9.783000000000001,-0.2935
bronn,2.61,2.589,7.801,-0.5734999999999999
man,0.0,0.0,7.0,0.0
roose,3.215,2.357,7.429,-0.5945999999999998
walda,0.0,0.0,0.0,0.0
woman,0.0,0.0,1.0,0.0
locke,0.476,0.916,1.608,-0.16050000000000003
meryn trant,0.0,0.0,1.0,0.0
varys,1.019,1.3650000000000002,3.6169999999999995,-1.4938
mace,1.587,0.0,1.413,1.4919
joffrey lannister,4.09,2.529,19.381,1.475
cersei lannister,3.8890000000000002,2.6029999999999998,16.508,-0.10289999999999999
tywin lannister,3.19,0.875,7.9350000000000005,2.4365
pycelle,2.315,1.341,3.3449999999999998,0.6434
shae,1.0,2.608,3.392,-1.0305
melisandre,1.811,3.7630000000000003,8.426000000000002,-1.5197
axell florent,0.0,0.0,2.0,0.0
selyse,0.832,3.438,7.730999999999999,-2.3890000000000002
davos,1.175,0.0,2.825,1.0307
stannis baratheon,0.0,1.6,7.4,-0.93
shireen,0.73,1.0,4.27,0.0837
hodor,0.0,0.0,1.0,0.0
bran stark,0.0,0.0,4.0,0.0
meera,0.0,0.713,2.287,-0.8979
jojen,0.29,0.5589999999999999,1.1520000000000001,-0.5025000000000001
threeeyed raven,0.0,0.0,2.0,0.0
septon,0.0,0.0,1.0,0.0
sansa stark,0.0,1.0,1.0,-0.0516
olenna tyrell,2.548,2.4829999999999997,5.969,0.35230000000000017
oberyn martell,2.229,0.905,2.864,0.8619
musician,0.0,0.0,1.0,0.0
margaery tyrell,4.69,1.245,3.065,3.6058000000000003
loras,0.0,0.0,1.0,0.0
brienne,6.596,0.241,2.163,4.515499999999999
maid,1.0,0.0,0.0,0.4215
ellaria,0.0,0.0,2.0,0.0
renly dwarf,0.615,0.0,2.385,0.1531
robb dwarf,0.0,0.0,4.0,0.0
joffrey dwarf,1.643,1.0,4.357,-0.035900000000000015
balon dwarf,0.565,0.0,4.4350000000000005,0.0772
stannis dwarf,0.0,0.0,2.0,0.0
ser dontos,0.0,0.545,0.455,-0.0516
