,Positive,Negative,Neutral,Compound
cersei lannister,0.874,1.016,5.111,0.24510000000000004
ser dontos,2.5549999999999997,1.412,3.033,1.5036
tywin lannister,3.7990000000000004,6.79,19.409,-2.6441
sansa stark,1.833,3.0,1.167,-0.8743999999999998
petyr baelish,1.8279999999999998,2.9850000000000003,5.188000000000001,-1.8636
margaery tyrell,0.188,0.9910000000000001,2.8209999999999997,-1.2519
olenna tyrell,1.43,1.469,2.1,0.3255999999999999
tommen lannister,3.773,0.0,5.227,2.074
jaime lannister,1.624,0.471,1.9060000000000001,0.5161
septon,0.0,0.0,1.0,0.0
arya stark,1.135,2.0709999999999997,7.7940000000000005,-1.5256999999999998
sandor clegane,2.0509999999999997,5.007,12.940999999999999,-2.3369
farmer hamlet,2.336,2.2840000000000003,6.38,0.48660000000000014
ranger,0.0,0.874,0.126,-0.9831
alliser thorne,0.358,0.0,3.642,0.5994
janos slynt,0.0,0.683,1.317,-0.6486
sam,5.207,7.127,6.666,-1.9173
gilly,1.992,6.285,4.723,-2.8646000000000003
davos,4.276,3.732,12.991999999999997,-0.20940000000000003
stannis baratheon,1.192,0.5549999999999999,8.253,-0.5554000000000001
shireen,0.444,1.79,7.766,-0.8393999999999999
moles town whore,1.792,0.0,2.208,1.1578
moles town madam,0.0,0.0,2.0,0.0
oberyn martell,4.4239999999999995,7.271000000000001,14.303,-2.8941000000000003
ellaria,2.0,0.368,1.6320000000000001,0.6295
olyvar,1.491,0.0,2.509,1.2107999999999999
tyrion lannister,3.834,3.781,13.386,-1.9042999999999997
podrick,0.0,0.926,22.074,-1.2936
olly,0.0,0.0,2.0,0.0
guymon,0.0,0.0,2.0,0.0
man,0.0,0.0,1.0,0.0
ollys mother,0.0,0.773,0.227,-0.34
styr,0.0,0.439,1.561,-0.8625
yarwyck,0.0,0.0,2.0,0.0
men,0.0,0.0,2.0,0.0
maester aemon,0.0,0.213,0.787,-0.4019
pyp,1.0,0.701,1.299,-0.309
jon snow,0.41700000000000004,0.883,2.7,-0.07909999999999995
dolorous edd,0.0,0.237,2.763,-0.4767
alliser thorn,0.63,0.0,0.37,0.5267
grenn,0.0,0.0,2.0,0.0
daenerys targaryen,2.5250000000000004,2.9539999999999997,6.521,-0.5502
jorah mormont,0.661,0.492,1.847,0.3912
barristan selmy,1.0,0.879,0.122,0.17560000000000003
missandei,1.0,0.452,0.548,0.4169
grey worm,0.405,0.342,0.253,0.128
daario,0.0,1.314,1.686,-1.2362
