,Positive,Negative,Neutral,Compound
man,1.3860000000000001,3.577,5.037000000000001,-1.8006000000000002
ray,2.093,6.534999999999999,24.371,-5.666399999999999
sandor,2.924,3.44,6.635999999999999,-0.7247000000000001
sparrow,3.9919999999999995,1.314,5.694,2.5540000000000003
margaery tyrell,5.870000000000001,1.7029999999999998,11.426999999999998,3.8163
olenna tyrell,1.133,5.517,9.351,-3.4766000000000004
dim dalba,0.131,0.628,1.241,-1.1022
tormund,0.75,0.536,1.714,-0.38539999999999996
jon snow,0.5820000000000001,2.8009999999999997,16.616999999999997,-2.3698
wun wun,0.0,0.0,1.0,0.0
cersei lannister,0.781,2.196,3.023,-0.7823999999999999
bronn,1.6199999999999999,2.17,6.210999999999999,-0.027800000000000047
jaime lannister,1.776,2.719,13.505999999999998,-1.5466000000000002
lothar,0.0,0.9390000000000001,4.061,-0.7218
black walder,0.0,0.97,4.03,-1.3068
brynden,1.066,4.391,5.543,-2.6964
lyanna,2.356,1.96,9.683,0.08539999999999992
sansa stark,1.1320000000000001,0.626,5.242,0.5145
davos,2.7590000000000003,4.417,8.823,-1.7905000000000002
robett,0.752,2.8480000000000003,4.4,-2.8761
theon greyjoy,0.405,1.0,1.595,-0.015600000000000058
yara greyjoy,3.459,4.693,7.848,-3.0401
lem,0.305,0.379,3.316,-0.1779
arya stark,1.0,0.375,3.625,0.4423
woman,0.75,0.0,0.25,0.4588
