,Positive,Negative,Neutral,Compound
man,2.5,1.744,4.756,0.3102999999999999
jaqen hghar,1.806,0.158,5.036,0.7529000000000001
arya stark,1.3780000000000001,1.113,6.507999999999999,-0.31059999999999993
bystanders,0.0,0.0,1.0,0.0
margaery tyrell,8.542999999999997,2.011,11.447000000000001,6.059800000000001
tommen lannister,2.188,3.9709999999999996,9.840999999999998,-1.2131999999999996
cersei lannister,5.757,3.471,17.772,3.1518000000000006
roose,1.737,1.838,12.424,-0.15319999999999995
ramsay bolton,2.315,2.85,4.835000000000001,-0.6245
sansa stark,0.0,2.374,5.626,-2.3146
petyr baelish,3.3709999999999996,1.6320000000000001,10.997,0.8725
podrick,0.492,2.49,10.017,-2.5559000000000003
brienne,1.752,4.087,7.161,-1.2438999999999998
stannis baratheon,1.33,3.6719999999999997,7.997999999999999,-1.4684
jon snow,4.034,3.597,16.369,0.11409999999999959
davos,1.032,0.564,5.404,0.019500000000000073
olly,0.0,0.2,1.8,-0.25
waif,1.151,0.608,1.241,0.2023
woman,1.0,0.0,3.0,0.5423
sam,2.0,0.0,0.0,0.9176
janos,1.101,3.805,2.0940000000000003,-3.1253999999999995
olyvar,1.0,0.0,4.0,0.296
septon,1.459,1.266,6.275,0.07289999999999995
lancel,0.651,0.75,0.599,0.22199999999999998
crowd,0.0,0.643,4.357,-0.5574
qyburn,3.859,0.0,3.141,1.5957
mace,0.0,0.574,0.426,-0.4019
pycelle,0.0,0.0,1.0,0.0
meryn,0.737,0.0,0.263,0.4215
sparrow,2.7590000000000003,1.633,2.608,1.4589
tyrion lannister,3.5580000000000003,5.576999999999999,13.866,-0.4637000000000001
varys,1.49,1.632,3.8779999999999997,-0.5948999999999999
priestess,0.0,0.913,4.087,-1.1293
blonde prostitute,0.0,0.0,1.0,0.0
black haired prostitute,0.312,2.153,2.534,-0.895
jorah mormont,0.0,0.0,1.0,0.0
end,0.0,0.0,1.0,0.0
