,Positive,Negative,Neutral,Compound
thoros,2.014,4.5840000000000005,9.403,-1.7571000000000003
men,0.0,1.643,1.357,-1.5417
arya stark,1.0,3.247,7.753,-2.1103
gendry baratheon,0.0,0.9199999999999999,6.08,-1.535
sandor clegane,0.71,1.538,1.752,-0.6613
beric,1.1440000000000001,3.123,7.7330000000000005,-1.7666
tormund,0.0,0.0,4.0,0.0
jon snow,2.524,1.246,8.23,-0.5773000000000001
orell,0.0,1.0,2.0,-0.5106
ygritte,0.149,1.724,12.128,-1.2932000000000001
anguy,0.22,0.622,0.157,-0.7269
man,0.245,0.461,2.294,-0.4939
locke,0.0,0.0,3.0,0.0
roose bolton,0.708,1.404,4.888,-0.067
brienne,1.801,1.549,3.65,0.3327000000000001
jaime lannister,2.867,7.378,10.754999999999999,-3.4461999999999993
qyburn,0.963,2.526,2.5100000000000002,-0.8670000000000001
cersei lannister,2.5829999999999997,0.27,7.146,1.7631000000000003
petyr baelish,5.9030000000000005,1.558,7.54,2.4866
olenna tyrell,0.777,1.8329999999999997,9.389,-0.2652
podrick,0.697,0.0,0.303,0.3182
tyrion lannister,4.255,3.79,12.955,1.9199999999999997
martyn,0.0,0.0,2.0,0.0
willem,1.0,0.0,0.0,0.5106
rickard karstark,0.793,4.809,3.3979999999999997,-4.6118
robb stark,1.4309999999999998,7.633000000000001,11.937,-5.888100000000001
edmure,0.337,1.291,1.372,-0.9605
catelyn stark,0.221,0.463,1.316,-0.5106
talisa,0.0,1.157,4.843,-1.0398
selyse,1.746,2.545,5.710999999999999,-0.49639999999999984
stannis baratheon,1.589,2.8869999999999996,8.524000000000001,-1.6046
shireen,3.1109999999999998,0.987,14.902,2.4353999999999996
davos,0.257,0.457,7.286,-0.34
jorah mormont,0.764,2.923,12.312999999999999,-1.8464
barristan,1.771,4.445,7.785,-3.757
daenerys targaryen,0.756,0.0,3.244,0.3916
missandei,0.084,0.147,1.7690000000000001,-0.2263
grey worm,2.003,0.0,0.9970000000000001,1.2263
sansa stark,0.844,0.845,4.311,-0.127
margaery tyrell,0.0,0.0,1.0,0.0
loras,0.0,1.0,3.0,-0.3818
olyvar,0.574,0.697,4.729,0.0837
tywin lannister,3.701,2.047,12.251,0.9484
