,Positive,Negative,Neutral,Compound
joffrey lannister,1.5290000000000001,9.908000000000001,9.562000000000001,-6.658499999999999
sansa stark,2.628,1.5710000000000002,0.8009999999999999,0.0024000000000000687
announcer,0.0,0.0,3.0,0.0
ser dontos,3.803,0.0,1.197,2.451
sandor clegane,0.0,0.0,1.0,0.0
tyrion lannister,7.9350000000000005,7.713,12.353000000000002,-1.9354
bronn,0.0,0.0,1.0,0.0
myrcella,0.411,0.589,0.0,-0.3182
pycelle,0.157,0.0,1.843,0.4215
varys,0.269,0.227,1.504,0.128
petyr baelish,4.380000000000001,0.33799999999999997,4.2829999999999995,2.9673
janos,3.599,2.417,0.985,0.036499999999999866
cersei lannister,3.9880000000000004,4.525,18.488,-0.35789999999999983
lord,0.062,0.882,4.056,-1.0539
luwin,0.0,0.0,4.0,0.0
bran stark,1.3519999999999999,2.767,2.8810000000000002,-1.8071000000000002
portan,0.0,0.0,1.0,0.0
osha,3.103,0.785,2.1109999999999998,0.005099999999999882
doreah,0.0,0.0,2.0,0.0
daenerys targaryen,1.672,1.075,5.253,-0.6750000000000002
jorah mormont,0.33,1.886,2.7840000000000003,-1.6773
rakharo,0.0,1.272,1.7279999999999998,-1.0846
jon snow,0.0,0.0,7.0,0.0
sam,0.0,1.0,5.0,-0.6705
grenn,0.0,1.463,2.537,-1.2421
edd,0.0,0.706,4.294,-0.329
lord mormont,0.267,2.29,11.444,-2.2035
craster,2.812,2.4000000000000004,9.789,0.39359999999999995
watchman,0.0,0.0,1.0,0.0
gilly,0.296,0.398,0.306,-0.25
melisandre,0.8920000000000001,3.575,6.533,-2.7792
group,0.0,0.643,0.357,-0.5574
cressen,2.447,1.096,2.4570000000000003,1.8269
davos,2.845,0.588,4.566,1.4687999999999999
crowd,0.0,0.0,1.0,0.0
stannis baratheon,1.619,1.374,5.007,-0.31210000000000004
matthos,0.891,0.0,3.109,1.5009000000000001
jaime lannister,1.663,1.941,4.396,0.10220000000000001
robb stark,6.467,4.681,17.852,0.31480000000000014
shae,1.809,2.566,2.624,-0.4196
alton,3.346,0.0,0.654,2.0075
ser rodrik,0.0,0.0,1.0,0.0
others at table,0.0,0.0,1.0,0.0
theon greyjoy,0.945,1.9169999999999998,2.138,-0.6084999999999998
catelyn stark,1.148,1.7880000000000003,9.064,-0.5062
roz,0.5,1.016,6.484,-0.4403
daisy,1.0,0.0,2.0,0.5994
mhaegan,0.0,0.0,1.0,0.0
gold cloak,0.0,0.0,1.0,0.0
blacksmith,0.0,0.0,4.0,0.0
