,Positive,Negative,Neutral,Compound
bronn,2.4850000000000003,3.636,10.878000000000002,-0.8099999999999998
soldier,0.0,0.0,3.0,0.0
jaime lannister,7.443,6.788000000000001,16.77,-2.1073
man,0.0,0.0,6.0,0.0
jon snow,3.8439999999999994,6.127000000000001,13.030000000000001,-2.1505
tyrion lannister,6.316,9.584,19.097,-4.6202
cersei lannister,5.926,12.270999999999999,33.804,-8.2535
qyburn,1.737,0.0,1.263,0.843
missandei,0.0,0.0,1.0,0.0
jorah mormont,0.195,0.41,1.395,-0.7964
davos,0.0,0.0,2.0,0.0
podrick,1.0,1.0,2.0,0.2593
sandor,1.117,3.6959999999999997,2.187,-2.6839
brienne,2.666,1.5,4.8340000000000005,0.6089
varys,0.0,0.0,1.0,0.0
daenerys targaryen,3.975,2.398,6.627,0.006500000000000117
euron greyjoy,0.669,1.1680000000000001,5.163,-0.6695
petyr baelish,5.7749999999999995,3.408,14.817,2.0500000000000003
sansa stark,3.8120000000000003,11.975,13.213,-9.0134
theon greyjoy,0.671,2.516,9.813,-1.4772999999999996
harrag,0.126,3.0540000000000003,4.821,-3.1683999999999997
men,1.0,0.0,1.0,0.4215
arya stark,3.573,0.319,3.108,2.1198
bran stark,3.102,2.069,9.829,0.5574999999999999
john royce,0.0,0.0,0.0,0.0
sam,1.0,0.775,4.225,-0.4663
rhaegar,0.0,0.0,1.0,0.0
lyanna,0.0,0.0,2.0,0.0
brans voice,0.0,0.0,0.0,0.0
beric,0.0,0.0,0.0,0.0
tormund,0.524,0.0,0.476,0.296
