,Positive,Negative,Neutral,Compound
tyrion lannister,10.838999999999999,13.304,30.857000000000003,-6.253699999999999
jon snow,7.572,2.325,26.105,1.5115
grey worm,1.34,3.966,7.695,-2.3984
davos,3.3939999999999997,1.458,5.147,0.6975
daenerys targaryen,3.43,3.4690000000000003,10.101,-1.0411999999999995
arya stark,0.0,2.27,4.73,-2.2758000000000003
sansa stark,1.258,1.298,6.444,-0.3761
yara greyjoy,0.511,0.0,2.489,0.6751
maester wolkan,0.0,0.0,3.0,0.0
edmure,0.0,0.159,3.841,-0.5574
sam,1.3900000000000001,0.455,7.155,0.0978
yohn royce,0.0,0.0,2.0,0.0
bran stark,0.615,1.133,7.252,-0.9138
riverlands lord,0.0,0.0,1.0,0.0
robin,0.0,0.0,1.0,0.0
dornish prince,0.0,0.0,1.0,0.0
ironborn lord,0.0,0.0,1.0,0.0
vale lord,0.0,0.0,1.0,0.0
gendry baratheon,0.0,0.0,1.0,0.0
brienne,0.455,0.0,3.545,0.3612
all,0.241,0.574,1.185,-0.4215
unsullied captain,0.0,0.0,1.0,0.0
bronn,2.576,0.603,5.821,1.2913000000000001
man,0.0,0.0,1.0,0.0
